task,method,n_clusters,omega,test_error,test_r2,simplex_violation
Acrobot-v1,kahkm_nlms,150,0.5,0.0114099043377271,0.752865729849862,2.1094237467877974e-15
Acrobot-v1,kahkm_nlms_simplex_project,150,0.5,0.011409904337727098,0.7528657298498621,1.2212453270876722e-15
Acrobot-v1,kmeans_hard_nlms,150,0.5,0.8242126686326967,0.16490101374544897,4.440892098500626e-16
Acrobot-v1,kmeans_distance_nlms,150,0.5,0.24791175994137335,0.45078447589841675,2.220446049250313e-15
Acrobot-v1,kmeans_rbf_nlms,150,0.5,0.0458272132935564,0.7548422570333091,0.0007103908446198213
Acrobot-v1,state_dmd,150,0.5,0.00981659843383774,0.787376141158187,2.4424906541753444e-15
Acrobot-v1,state_edmd_poly2,150,0.5,0.005780850307989867,0.8747889395541708,2.4424906541753444e-15
Acrobot-v1,state_edmd_poly3,150,0.5,0.0030813846738423686,0.9332583578370691,2.3314683517128287e-15
