method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega,effective_subspace_dim
kahkm_nlms,1,0.010072452792471535,0.8227476160966565,7.771561172376096e-16,1079,Acrobot-v1,20,0.5,6
kahkm_nlms,5,0.02510793485020754,0.5628208352752195,2.6645352591003757e-15,1055,Acrobot-v1,20,0.5,6
kahkm_nlms,10,0.029687843983216493,0.4903317808665958,4.884981308350689e-15,1025,Acrobot-v1,20,0.5,6
kahkm_nlms,20,0.039617074383812845,0.332454373540112,8.881784197001252e-15,965,Acrobot-v1,20,0.5,6
kahkm_nlms,50,0.06247294264264143,0.005519472591129948,1.6653345369377348e-14,785,Acrobot-v1,20,0.5,6
kahkm_nlms,1,0.031605200027853414,0.8163599531241998,1.1102230246251565e-15,1079,Acrobot-v1,20,1.0,6
kahkm_nlms,5,0.06731516394866709,0.6113682203675228,4.440892098500626e-15,1055,Acrobot-v1,20,1.0,6
kahkm_nlms,10,0.0790940709937425,0.5471459256230077,6.8833827526759706e-15,1025,Acrobot-v1,20,1.0,6
kahkm_nlms,20,0.09872031393577554,0.4387974190940491,9.547918011776346e-15,965,Acrobot-v1,20,1.0,6
kahkm_nlms,50,0.13760851423855658,0.2264612787648428,1.354472090042691e-14,785,Acrobot-v1,20,1.0,6
kahkm_nlms,1,0.08966538092857887,0.7898729523142957,0.0010881937278323858,1079,Acrobot-v1,20,2.0,6
kahkm_nlms,5,0.208007402066188,0.5154356349254002,0.009241908152498047,1055,Acrobot-v1,20,2.0,6
kahkm_nlms,10,0.2444300523776421,0.43418938969982845,5.773159728050814e-15,1025,Acrobot-v1,20,2.0,6
kahkm_nlms,20,0.28651068473660357,0.33988128395863604,7.771561172376096e-15,965,Acrobot-v1,20,2.0,6
kahkm_nlms,50,0.37833601533413247,0.11425643043834333,1.0436096431476471e-14,785,Acrobot-v1,20,2.0,6
kahkm_nlms,1,0.26476382569830725,0.6385560260603842,0.01717011687474839,1079,Acrobot-v1,20,4.0,6
