n_train_trajectories,best_config_name,n_clusters,omega,E200_mean,E200_std,E100_mean,E50_mean
1,old_default,20,4.0,0.18701846662861407,0.012959673474360013,0.19439397617650397,0.09259852700544903
2,old_default,20,4.0,0.17391993049834678,0.012847522108408602,0.18516369646577374,0.08204466882204296
3,old_default,20,4.0,0.1572727089726288,0.006229824394291799,0.17350578444762513,0.07472678192726749
5,old_default,20,4.0,0.1597429731152763,0.013166514737152064,0.18142194532982445,0.07466842844881906
8,old_default,20,4.0,0.14592371308271893,0.0019848548090867064,0.1576025710454248,0.06454684101856928
