config_name,n_clusters,omega,n_train_trajectories,replicate,train_seeds,test_seeds,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
old_default,20,4.0,1,0,0,100 101 102,1,2400,0.0034416679779634704,0.9958175114570293,0.027325361885103806,0.003061157990021034,0.9962869805796992,0.37985920906066895
old_default,20,4.0,1,0,0,100 101 102,10,2373,0.02775753721508752,0.9663029763338461,0.12119572253531344,0.003061157990021034,0.9962869805796992,0.37985920906066895
old_default,20,4.0,1,0,0,100 101 102,50,2253,0.10078561057987369,0.8786218561728265,0.14463184759164555,0.003061157990021034,0.9962869805796992,0.37985920906066895
old_default,20,4.0,1,0,0,100 101 102,100,2103,0.1987216139592466,0.7621620793560777,0.12625756431308996,0.003061157990021034,0.9962869805796992,0.37985920906066895
old_default,20,4.0,1,0,0,100 101 102,200,1803,0.1865435609733664,0.7738846257243214,0.0706192625308357,0.003061157990021034,0.9962869805796992,0.37985920906066895
old_default,20,4.0,1,1,1000,100 101 102,1,2400,0.001988795606795298,0.9975726415310656,0.025848302368451984,0.0020339982016320127,0.997517862657932,0.37584519386291504
old_default,20,4.0,1,1,1000,100 101 102,10,2373,0.016845451891343143,0.9794630275011282,0.12618141993676935,0.0020339982016320127,0.997517862657932,0.37584519386291504
old_default,20,4.0,1,1,1000,100 101 102,50,2253,0.08318341912081453,0.8994114854550248,0.093487681938559,0.0020339982016320127,0.997517862657932,0.37584519386291504
old_default,20,4.0,1,1,1000,100 101 102,100,2103,0.1858212236161374,0.7765091871957046,0.09011515309679032,0.0020339982016320127,0.997517862657932,0.37584519386291504
old_default,20,4.0,1,1,1000,100 101 102,200,1803,0.1713889552441712,0.79132176094487,0.06143340204735488,0.0020339982016320127,0.997517862657932,0.37584519386291504
old_default,20,4.0,1,2,2000,100 101 102,1,2400,0.0018311599635259914,0.9977551547235521,0.03116498648955076,0.0017309936925625857,0.9978697767688762,0.3859388828277588
old_default,20,4.0,1,2,2000,100 101 102,10,2373,0.019566058664751647,0.9760351396264215,0.14945537121730965,0.0017309936925625857,0.9978697767688762,0.3859388828277588
old_default,20,4.0,1,2,2000,100 101 102,50,2253,0.09382655131565887,0.8859052857803339,0.10558031506668593,0.0017309936925625857,0.9978697767688762,0.3859388828277588
old_default,20,4.0,1,2,2000,100 101 102,100,2103,0.19863909095412796,0.7595936758199168,0.10975454108701771,0.0017309936925625857,0.9978697767688762,0.3859388828277588
old_default,20,4.0,1,2,2000,100 101 102,200,1803,0.20312288366830464,0.7519826418299506,0.06945928979166363,0.0017309936925625857,0.9978697767688762,0.3859388828277588
old_default,20,4.0,2,0,0 1,100 101 102,1,2400,0.002824186439325693,0.9965517360673932,0.0328709270273262,0.0026488398466894287,0.9967806183927459,0.882375955581665
old_default,20,4.0,2,0,0 1,100 101 102,10,2373,0.020949596214139138,0.9744503513421984,0.10637379089507881,0.0026488398466894287,0.9967806183927459,0.882375955581665
old_default,20,4.0,2,0,0 1,100 101 102,50,2253,0.0964756644793535,0.8834839202933085,0.14928126129225988,0.0026488398466894287,0.9967806183927459,0.882375955581665
old_default,20,4.0,2,0,0 1,100 101 102,100,2103,0.2070387772521509,0.7518363883509913,0.11142322232304847,0.0026488398466894287,0.9967806183927459,0.882375955581665
old_default,20,4.0,2,0,0 1,100 101 102,200,1803,0.18807524254717245,0.7713462437942042,0.07928687689123007,0.0026488398466894287,0.9967806183927459,0.882375955581665
old_default,20,4.0,2,1,1000 1001,100 101 102,1,2400,0.0019596531756760254,0.9976136771390584,0.020359972076563995,0.00205224200652318,0.9974998086116075,0.8673229217529297
old_default,20,4.0,2,1,1000 1001,100 101 102,10,2373,0.014631895732575013,0.9821990823489565,0.07057359559695184,0.00205224200652318,0.9974998086116075,0.8673229217529297
old_default,20,4.0,2,1,1000 1001,100 101 102,50,2253,0.07772279810707236,0.9061669680061123,0.15601486300577017,0.00205224200652318,0.9974998086116075,0.8673229217529297
old_default,20,4.0,2,1,1000 1001,100 101 102,100,2103,0.18062491998892696,0.7830642199205995,0.14168825058525839,0.00205224200652318,0.9974998086116075,0.8673229217529297
