config_name,n_clusters,omega,n_train_trajectories,E1_mean,E1_std,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std
clean_tuned,25,6.0,1,0.0026705027923556697,0.00037539862803121545,0.10304212519947557,0.013371187020674021,0.20440431820159702,0.014567755664145816,0.2062034764381997,0.016490381629905022
clean_tuned,25,6.0,2,0.0024551721365007073,0.0003375590385344921,0.09376904367992692,0.005986277265170052,0.19581140272742173,0.007134082093427129,0.19769584331361092,0.004233739970998634
clean_tuned,25,6.0,3,0.0019862024474736326,0.0002810275085338159,0.08630039773103272,0.004441939191150398,0.18475781785376696,0.008470703908727664,0.17617253184811862,0.011641889048666268
clean_tuned,25,6.0,5,0.002038808441456649,0.00023237421107619806,0.09056603356996823,0.002005710311620237,0.19626995647855097,0.001348809370224563,0.19360762144468993,0.0050180286940346526
clean_tuned,25,6.0,8,0.001663062724255752,9.111049519417749e-05,0.08728074528400863,0.004495495479492642,0.19474410346340434,0.006278255620554725,0.1869303246145506,0.004336562410645784
old_default,20,4.0,1,0.0024205411827615867,0.0007249079012383502,0.09259852700544903,0.007238338613254357,0.19439397617650397,0.006061945087046309,0.18701846662861407,0.012959673474360013
old_default,20,4.0,2,0.0021421831222604524,0.0004993059695576012,0.08204466882204296,0.01047420019600663,0.18516369646577374,0.016326533602594527,0.17391993049834678,0.012847522108408602
old_default,20,4.0,3,0.0017949061963241158,0.0001565319152202127,0.07472678192726749,0.004147459355749239,0.17350578444762513,0.007293017392516484,0.1572727089726288,0.006229824394291799
old_default,20,4.0,5,0.0015027067089441516,0.00030853187613727175,0.07466842844881906,0.005278487924572598,0.18142194532982445,0.005930229435791418,0.1597429731152763,0.013166514737152064
old_default,20,4.0,8,0.0014463306730199195,0.00014884891560776933,0.06454684101856928,0.0004719587725286786,0.1576025710454248,0.007880310188957074,0.14592371308271893,0.0019848548090867064
robust_tuned,25,4.0,1,0.0032908776000559097,0.0004389422849705168,0.09885415563657395,0.007541037644039756,0.20105598860178459,0.005229844281263267,0.2001809935487131,0.005355490319844202
robust_tuned,25,4.0,2,0.003165525075353889,0.0005715600258087745,0.08552860969556558,0.006954559107924272,0.18564284051739358,0.00361813905920056,0.18029449973464215,0.007293891074808056
robust_tuned,25,4.0,3,0.0025360429368252633,0.00044614660809537263,0.07706846777451216,0.005286952656633169,0.17954535129209429,0.006026792820242602,0.1764466343051381,0.00950577061686301
robust_tuned,25,4.0,5,0.0025286365584239316,0.00014756125951033872,0.06995910098175354,0.0010736492012549577,0.16919368923496875,0.0021791522811031175,0.17026854342777756,0.0065029463218374516
robust_tuned,25,4.0,8,0.0021753256220652098,0.0001302095095010001,0.06469974774201823,0.006038042388556635,0.1667261111409172,0.014163727609361366,0.16445632134943045,0.013883953072108225
