config_name,n_clusters,omega,n_train_trajectories,selection_horizons,n_replicates,mean_centered_error,mean_multihorizon_r2,centered_error_sd,centered_error_se
clean_tuned,25,6.0,1,1 10 50 100 200,3,0.12324503595435765,0.8767549640456423,0.013446088954586797,0.007763103077478341
clean_tuned,25,6.0,2,1 10 50 100 200,3,0.11599656240221883,0.8840034375977812,0.004710890295857388,0.0027198337804360587
clean_tuned,25,6.0,3,1 10 50 100 200,3,0.10644979338376823,0.8935502066162317,0.006522598710290154,0.0037658241212019266
clean_tuned,25,6.0,5,1 10 50 100 200,3,0.1138850302220087,0.8861149697779913,0.002720241475477936,0.0015705321481279712
clean_tuned,25,6.0,8,1 10 50 100 200,3,0.11093953909909267,0.8890604609009073,0.004456271446284552,0.0025728295190944293
old_default,20,4.0,1,1 10 50 100 200,3,0.12051073003652873,0.8794892699634713,0.008130238724639405,0.004693995516246481
old_default,20,4.0,2,1 10 50 100 200,3,0.1110914075701519,0.8889085924298481,0.012488422685460144,0.007210194199204244
old_default,20,4.0,3,1 10 50 100 200,3,0.10178002372796623,0.8982199762720338,0.004361977421387391,0.0025183888384370796
old_default,20,4.0,5,1 10 50 100 200,3,0.10422069310616011,0.8957793068938399,0.0069874520866890855,0.004034207343199556
old_default,20,4.0,8,1 10 50 100 200,3,0.09232562075923799,0.907674379240762,0.002967489731083986,0.0017132809950587897
robust_tuned,25,4.0,1,1 10 50 100 200,3,0.12545595663116818,0.8745440433688318,0.0055188864486054754,0.003186330576729349
robust_tuned,25,4.0,2,1 10 50 100 200,3,0.11235092569009039,0.8876490743099096,0.005041797030869638,0.0029108828729720415
robust_tuned,25,4.0,3,1 10 50 100 200,3,0.10698496043232872,0.8930150395676713,0.006166539608720653,0.003560253303063359
robust_tuned,25,4.0,5,1 10 50 100 200,3,0.10145082053735237,0.8985491794626477,0.002878859247642958,0.0016621101615857054
robust_tuned,25,4.0,8,1 10 50 100 200,3,0.09794325609743178,0.9020567439025682,0.010013855165015894,0.005781501975147851
