system,train_seeds_used,n_train_snapshots,n_clusters,omega,tau,kahkm_train_closure_error,kahkm_train_association_r2,state_dmd_one_step_train_error,state_edmd_poly2_one_step_train_error,state_edmd_poly3_one_step_train_error,kahkm_fit_seconds,baseline_fit_seconds
duffing,0 1 2,3600,15,12.0,1e-06,9.35878810493574e-05,0.9994190621453526,1.154866979329177e-05,2.144081167134153e-08,2.0101264253087708e-08,2.1357030868530273,0.0005791187286376953
vanderpol,0 1 2,3600,20,4.0,1e-06,0.0014846414816175617,0.9981990193081177,0.0001972477947820469,0.00019464769805280577,2.1855345163353607e-10,2.0710840225219727,0.0004839897155761719
