method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.27649974465646826,0.18006576692823184,0.05566882242407734,CartPole-v1
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.27355751568284586,0.1887906728409151,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,1,own_association,0.801935111121622,0.0325729475838642,2.220446049250313e-16,CartPole-v1
kmeans_distance_nlms,1,own_association,0.49240665748034296,-0.018142707184225504,0.11732228767143944,CartPole-v1
kmeans_rbf_nlms,1,own_association,0.052215967564171795,0.2523033795314914,8.881784197001252e-16,CartPole-v1
state_dmd,1,kahkm_association_of_predicted_state,0.29056592691787086,0.13835381388798507,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.2917701691110411,0.13478274585565653,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.25409964544959324,0.24649117425271183,4.440892098500626e-16,CartPole-v1
kahkm_nlms,5,kahkm_association,0.29212895583733495,0.13142021045729246,0.01394733322415248,CartPole-v1
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.29135678665668746,0.13371608195861528,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,5,own_association,0.7860440521558081,0.05208084890899811,4.440892098500626e-16,CartPole-v1
kmeans_distance_nlms,5,own_association,0.45768201502549727,0.055304825238707056,2.886579864025407e-15,CartPole-v1
kmeans_rbf_nlms,5,own_association,0.05094426880853914,0.2668857004621359,3.1086244689504383e-15,CartPole-v1
state_dmd,5,kahkm_association_of_predicted_state,0.3375561808401018,-0.0036474325954669595,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.34055334817510197,-0.012558836004954,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.34171429932110076,-0.01601066329530476,5.551115123125783e-16,CartPole-v1
kahkm_nlms,10,kahkm_association,0.30850280179523704,0.08196205735695816,3.1086244689504383e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.3092205963155701,0.0798260553470822,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,10,own_association,0.7819795868023898,0.05812739995034133,8.881784197001252e-16,CartPole-v1
kmeans_distance_nlms,10,own_association,0.46610757384790297,0.040723612198748094,3.9968028886505635e-15,CartPole-v1
kmeans_rbf_nlms,10,own_association,0.05103813621599263,0.2690514113322937,5.329070518200751e-15,CartPole-v1
state_dmd,10,kahkm_association_of_predicted_state,0.35070057830455653,-0.04360944379407172,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.3502091198281248,-0.04214696913915006,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.346127920647715,-0.03000219872767529,4.440892098500626e-16,CartPole-v1
kahkm_nlms,20,kahkm_association,0.34495140347287245,-0.024821203036423878,4.218847493575595e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.3453745571276658,-0.026078356459220853,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,20,own_association,0.8162010753838549,0.01719372939207431,1.5543122344752192e-15,CartPole-v1
kmeans_distance_nlms,20,own_association,0.5191772862869023,-0.060310242301613304,4.884981308350689e-15,CartPole-v1
kmeans_rbf_nlms,20,own_association,0.051844490288346104,0.26908973806729763,1.021405182655144e-14,CartPole-v1
state_dmd,20,kahkm_association_of_predicted_state,0.35169413915915815,-0.044853295755012734,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.3509983310987024,-0.04278610934434823,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.3572517057206767,-0.061364352072481365,4.440892098500626e-16,CartPole-v1
kahkm_nlms,50,kahkm_association,0.3658349120590183,-0.08794570505130306,5.10702591327572e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.36587280584046356,-0.08805839625548462,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,50,own_association,0.9094812027635805,-0.09204644035594423,3.3306690738754696e-15,CartPole-v1
kmeans_distance_nlms,50,own_association,0.5486468152210721,-0.12720773076854353,5.995204332975845e-15,CartPole-v1
kmeans_rbf_nlms,50,own_association,0.05332674561121996,0.26774594422052655,2.353672812205332e-14,CartPole-v1
state_dmd,50,kahkm_association_of_predicted_state,0.34790054563227496,-0.034611219239178315,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.3471875167224008,-0.03249076349669866,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.34867189050887976,-0.036905099123119234,4.440892098500626e-16,CartPole-v1
