task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,kahkm_nlms,own_association,0.2625891536980966,0.3017862187495468,0.27649974465646826,0.18006576692823184,0.05566882242407734
CartPole-v1,kmeans_hard_nlms,own_association,0.7342562608543938,0.14089519203254364,0.801935111121622,0.0325729475838642,2.220446049250313e-16
CartPole-v1,kmeans_distance_nlms,own_association,0.37875821604682963,0.30183845457485126,0.49240665748034296,-0.018142707184225504,0.11732228767143944
CartPole-v1,kmeans_rbf_nlms,own_association,0.05321485022790515,0.39905878728020017,0.052215967564171795,0.2523033795314914,8.881784197001252e-16
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.29056592691787086,0.13835381388798507,4.440892098500626e-16
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.2917701691110411,0.13478274585565653,4.440892098500626e-16
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.25409964544959324,0.24649117425271183,4.440892098500626e-16
