experiment,seed,n_steps,dt,mu,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,10,391,0.13940157691451233,0.8275192932795843,1.6653345369377348e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,20,381,0.32167525014395065,0.6044656550525009,2.4424906541753444e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,50,351,0.6439230969472236,0.2206235235113022,4.440892098500626e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,100,301,0.8394966326591745,-0.03907082164985565,7.105427357601002e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,200,201,1.0220309403489845,-0.37820971323865304,1.0880185641326534e-14
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,1,400,0.0014896559613020658,0.9981221637968385,0.019124350830139736
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,2,399,0.003322425468823496,0.9958145152065772,0.03603970615100953
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,5,396,0.007406065476152162,0.9906884864770283,0.06967711262762315
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,10,391,0.01255280967105293,0.9842705617162393,0.06873356002380918
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,20,381,0.02348464148073746,0.9707820535645417,0.06768718357993098
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,50,351,0.08415232770346553,0.8973259662626283,0.09609083195349803
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,100,301,0.17112533294933693,0.7879281598416767,0.10270194081867523
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,200,201,0.1620389557363508,0.779515379674195,0.07265307509337388
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.0014506633237554413,0.9981713172848545,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.00318530416038138,0.9959872562226584,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.006855941243595063,0.9913801478250497,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.011874068398391086,0.9851210660446523,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.02310259766950682,0.9712573657221358,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.0751283298972459,0.9083361222557774,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.141138570656259,0.8250900911015329,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.1741341014605156,0.7630576482560981,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.001451879195309739,0.9981697845768451,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,2,399,0.00317734950951087,0.9959972772360921,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,5,396,0.006678609280541052,0.9916031041271982,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,10,391,0.010914999492391601,0.9863228380432815,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,20,381,0.019783674063857146,0.9753865380670826,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,50,351,0.0622448205768934,0.9240552580980429,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,100,301,0.11385926278309307,0.858896733982517,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,200,201,0.12832685997157414,0.8253870566503044,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,1,400,0.0034667103849337737,0.9956299209778515,8.881784197001252e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,2,399,0.01077186372299131,0.9864299523849459,9.992007221626409e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,5,396,0.04681106735212509,0.9411452831361529,1.2212453270876722e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,10,391,0.131627317268224,0.8350629207577351,1.5543122344752192e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,20,381,0.30731485692601734,0.6176603745111569,2.220446049250313e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,50,351,0.6350287969003872,0.22520303482386217,4.107825191113079e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,100,301,0.8609116268183764,-0.06690873739378866,6.8833827526759706e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,200,201,1.060806969911069,-0.4434283468252431,1.0325074129013956e-14
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,1,400,0.0023862199668524147,0.9970469417875345,0.018751673699561055
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,2,399,0.004998425981876615,0.9938178071279248,0.03610015392968543
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,5,396,0.010510837363779254,0.9870224478324967,0.06557586129319012
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,10,391,0.01668557595682394,0.9794575648888072,0.06957870027735476
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,20,381,0.02757531078877812,0.9662356525029326,0.07551639679473778
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,50,351,0.08651392473553901,0.8954601386765271,0.08904649832611769
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,100,301,0.16928587664026037,0.7905170763147924,0.0729907017774943
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,200,201,0.2166174001221972,0.7097924862201817,0.05065815213945464
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.002331563770047992,0.9971145813736068,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.004783894646977315,0.9940831454752885,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.009602073830887127,0.9881444827140061,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.01544129111571255,0.9809894652963516,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.02756150649822318,0.9662525550454576,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.08047105556665897,0.9027620927474086,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.15509841602161573,0.808073359148582,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.23515005831679803,0.6849638406203715,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.002340201961052256,0.9971038912104029,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,2,399,0.004793265176303388,0.9940715557428773,6.661338147750939e-16
