rollout_mode,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
raw_clip_renorm_each_step,1,3,0.001838831120611933,0.0004496629352813546,0.0014506633237554413,0.002331563770047992,0.9977092667924313,0.0005407094546115204,4.440892098500626e-16,4.440892098500626e-16
raw_clip_renorm_each_step,2,3,0.003965263533731069,0.0007999965709668557,0.00318530416038138,0.004783894646977315,0.9950624463708918,0.0009532242076007971,5.551115123125783e-16,6.661338147750939e-16
raw_clip_renorm_each_step,5,3,0.008389039311034628,0.0014007646314129164,0.006855941243595063,0.009602073830887127,0.9895716585515425,0.0016511911246264118,5.181040781584064e-16,6.661338147750939e-16
raw_clip_renorm_each_step,10,3,0.014090596916528532,0.0019348181515718077,0.011874068398391086,0.01544129111571255,0.9825350105715343,0.0022537806658691336,5.551115123125783e-16,6.661338147750939e-16
raw_clip_renorm_each_step,20,3,0.026036235414962944,0.0025412771350424913,0.02310259766950682,0.02756150649822318,0.9679212761320822,0.0028891384134406154,4.440892098500626e-16,4.440892098500626e-16
raw_clip_renorm_each_step,50,3,0.07762065628665694,0.0026893013109139463,0.0751283298972459,0.08047105556665897,0.9058609828369241,0.002838881807050994,5.181040781584064e-16,6.661338147750939e-16
raw_clip_renorm_each_step,100,3,0.14379234988782183,0.010240403904878822,0.13514006298559075,0.15509841602161573,0.821965478243268,0.012623259662352192,4.440892098500626e-16,4.440892098500626e-16
raw_clip_renorm_each_step,200,3,0.1955423410540682,0.034338789849747024,0.1741341014605156,0.23515005831679803,0.7362914885953988,0.044464713300803135,4.440892098500626e-16,4.440892098500626e-16
raw_free,1,3,0.0018889676089864325,0.0004562357296894676,0.0014896559613020658,0.0023862199668524147,0.9976467917053333,0.0005483125379307279,0.019567637851987254,0.020826889026260963
raw_free,2,3,0.004162223321738963,0.0008380060405491786,0.003322425468823496,0.004998425981876615,0.994817253420333,0.000998355831800116,0.03746432480793169,0.04025311434310011
raw_free,5,3,0.00921760932985784,0.001615979760185396,0.007406065476152162,0.010510837363779254,0.9885422658173942,0.0019116079799445674,0.07063358429906252,0.0766477789763743
