abstraction,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed
kahkm_folding_nlms,20,381,0.24202312697345058,0.7240375819880254,0.17423258313921755,2
kahkm_folding_nlms,50,351,0.3588235502248005,0.5957549138451943,0.10434055624262543,2
kahkm_folding_nlms,100,301,0.41847051531780655,0.5209627989583752,0.07522757909308236,2
kahkm_folding_nlms,200,201,0.5180624083413301,0.36817996660936203,0.052673851725112755,2
kmeans_hard_nlms,1,400,0.087710662943458,0.9034448888777433,1.1102230246251565e-16,2
kmeans_hard_nlms,2,399,0.1748353413869057,0.8075851593840783,2.220446049250313e-16,2
kmeans_hard_nlms,5,396,0.389982887855477,0.5711150938205195,4.440892098500626e-16,2
kmeans_hard_nlms,10,391,0.5905606072967355,0.3511735641303594,7.771561172376096e-16,2
kmeans_hard_nlms,20,381,0.765057016839124,0.16252080099704325,1.1102230246251565e-15,2
kmeans_hard_nlms,50,351,1.0057966301424917,-0.09218684450522785,2.220446049250313e-15,2
kmeans_hard_nlms,100,301,1.1582914317364272,-0.27184363494706254,3.9968028886505635e-15,2
kmeans_hard_nlms,200,201,1.1175492746577198,-0.2866944498559856,7.105427357601002e-15,2
kmeans_distance_nlms,1,400,0.07658027613794857,0.9150534262973594,0.005439221979834233,2
kmeans_distance_nlms,2,399,0.16218454000071708,0.8201433461579419,0.008439185272988346,2
kmeans_distance_nlms,5,396,0.38570124842114223,0.5725743758438944,0.015019053257773808,2
kmeans_distance_nlms,10,391,0.6148548376423758,0.3192812570730694,0.021882768365461203,2
kmeans_distance_nlms,20,381,0.7728489515868836,0.1478718590493484,0.0159711843317397,2
kmeans_distance_nlms,50,351,1.0439213141539296,-0.1413243786092686,0.004297279407531273,2
kmeans_distance_nlms,100,301,1.1260067343498101,-0.2455651440843789,1.1213252548714081e-14,2
kmeans_distance_nlms,200,201,1.1510020484217471,-0.33179533609733314,1.942890293094024e-14,2
kmeans_rbf_nlms,1,400,0.01964292252356612,0.9780656262017247,0.01807779208137603,2
kmeans_rbf_nlms,2,399,0.06417170243862212,0.9283622738712723,0.032364873948547306,2
kmeans_rbf_nlms,5,396,0.21998828111200808,0.7546239758324281,0.058898049998605574,2
kmeans_rbf_nlms,10,391,0.38854382827597145,0.5673501668622124,0.07726146942885995,2
kmeans_rbf_nlms,20,381,0.510023957739304,0.43484537617979047,0.07370838497378174,2
kmeans_rbf_nlms,50,351,0.713611285051744,0.21638528900182263,0.04949216688139877,2
kmeans_rbf_nlms,100,301,0.8191175257041184,0.08835747796149995,0.04145011919788021,2
kmeans_rbf_nlms,200,201,0.971258995082302,-0.1359837750280155,0.032557100891841606,2
