abstraction,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
kahkm_folding_nlms,1,3,0.005812992167064106,0.0004084190127579061,0.005499707866493725,0.0062749141893425845,0.9933315191016273,0.00041835898302451234,0.02792964578302992,0.02955041028974652
kahkm_folding_nlms,2,3,0.021023114111791693,0.001434787404759251,0.01991285166876553,0.0226431879972825,0.9758932158658365,0.0014649126559632658,0.06041052864379642,0.06647328380301533
kahkm_folding_nlms,5,3,0.0920323852648736,0.00524515935935381,0.08726395458964557,0.09765052211926491,0.8946030894500684,0.005271886569537369,0.14227448108110222,0.16101872812584123
kahkm_folding_nlms,10,3,0.18328337202403341,0.007232787678049395,0.17531545059894757,0.18943467874459785,0.7905701238112286,0.007199700083932913,0.2119693537616019,0.23851191497898086
kahkm_folding_nlms,20,3,0.23534363004447614,0.007568581088943274,0.22712313775534748,0.24202312697345058,0.7323197458269436,0.008334076920665928,0.16497676951373572,0.17423258313921755
kahkm_folding_nlms,50,3,0.3451284190431995,0.012275082371178822,0.3351169660242056,0.3588235502248005,0.6114329459035386,0.013825852968071763,0.12749528514151923,0.16184315349935802
kahkm_folding_nlms,100,3,0.4153241572563882,0.02305335146930182,0.3908592256239412,0.4366427308274169,0.5244631424950837,0.025817827070139306,0.07070511163730613,0.07591373292287516
kahkm_folding_nlms,200,3,0.5308581814802963,0.0584758056042009,0.47983985968147647,0.5946722764180823,0.3580572097484966,0.06236561641432409,0.04262905506766631,0.052673851725112755
kmeans_distance_nlms,1,3,0.07737784581628908,0.0015727581918065523,0.07636366204786806,0.07918959926305064,0.9142915352480574,0.0015236841605394452,0.006425615851133482,0.008786655536212136
kmeans_distance_nlms,2,3,0.16460712640147832,0.0027705172770520667,0.16218454000071708,0.16762785938548785,0.8177216511472952,0.0026210899993661637,0.011186178569984995,0.01619636826810741
kmeans_distance_nlms,5,3,0.3906418313318514,0.005754374788490475,0.38570124842114223,0.3969599545900816,0.5677448523924276,0.006864349934309694,0.02013714044503237,0.031500564898223955
kmeans_distance_nlms,10,3,0.612720375560691,0.024203595683213966,0.587520239644702,0.6357860493949955,0.3228209882644326,0.02891857106930549,0.026279189471020953,0.03967449050321541
kmeans_distance_nlms,20,3,0.7631271855993339,0.031904033147826125,0.7274932172766537,0.789039387934464,0.159844558794857,0.03721266909971127,0.022432496434234617,0.030990720161019863
kmeans_distance_nlms,50,3,0.9992523027082995,0.08994501212669702,0.8957167208299044,1.0581188731410642,-0.0924144765461498,0.09883677574317525,0.005411515249684196,0.009431970111380712
kmeans_distance_nlms,100,3,1.0661768433461094,0.12333935411410486,0.9243338656979352,1.1481899299905831,-0.17967735601301227,0.13526990889972265,1.217544583672255e-14,1.609823385706477e-14
kmeans_distance_nlms,200,3,1.0827643011883212,0.15265820666975907,0.9078894847023739,1.1894013704408426,-0.24611689824704372,0.18812987184259522,2.220446049250313e-14,3.0753177782116836e-14
kmeans_hard_nlms,1,3,0.08944905150936804,0.0022632821606142985,0.087710662943458,0.09200820142309855,0.9017008424599539,0.0025976597832495824,1.8503717077085943e-16,2.220446049250313e-16
kmeans_hard_nlms,2,3,0.1770741191285149,0.0021066820696832777,0.1748353413869057,0.17901753167038814,0.8054630179048655,0.0023322185111054267,2.220446049250313e-16,2.220446049250313e-16
kmeans_hard_nlms,5,3,0.3930507803229362,0.002793895888265378,0.389982887855477,0.3954489493812582,0.56851551150163,0.0032018355551424495,5.921189464667501e-16,6.661338147750939e-16
kmeans_hard_nlms,10,3,0.5887788363727214,0.007705231459601781,0.5803388078383658,0.5954370939830632,0.35439945310451365,0.010871941570716448,8.511709855459534e-16,8.881784197001252e-16
kmeans_hard_nlms,20,3,0.7591474570120863,0.008928285840498951,0.7488767960827464,0.765057016839124,0.1705615319188071,0.01228977333076827,1.3322676295501878e-15,1.5543122344752192e-15
kmeans_hard_nlms,50,3,0.9999814070993552,0.02526451809012933,0.972316306608883,1.021831284546691,-0.0852586697202038,0.02842506461804189,2.4054832200211726e-15,3.3306690738754696e-15
kmeans_hard_nlms,100,3,1.1300713096673354,0.07541573615532973,1.044615248095587,1.1873072491699916,-0.24025412357491605,0.08293908040976447,3.885780586188048e-15,5.995204332975845e-15
kmeans_hard_nlms,200,3,1.061765258623496,0.13113279298712757,0.9119637880412288,1.1557827131715388,-0.2139640648450186,0.16124118154429384,6.439293542825908e-15,1.0436096431476471e-14
kmeans_rbf_nlms,1,3,0.019598066370552676,0.0005482366686566348,0.019028779638621766,0.02012249694947014,0.9781529554166212,0.0006786364081174423,0.01777650799575059,0.020434092373181074
kmeans_rbf_nlms,2,3,0.06379380939998223,0.001521428291340983,0.062119049405086224,0.06509067635623832,0.9289074555776017,0.0019294458279185784,0.032602538418516507,0.03793596529943202
kmeans_rbf_nlms,5,3,0.21683115017675628,0.004401398641262168,0.21180342492846474,0.21998828111200808,0.758595907475807,0.005746019807651543,0.06379086687070364,0.07520292642517228
kmeans_rbf_nlms,10,3,0.3760008398970001,0.014370400606024075,0.36032118459753343,0.38854382827597145,0.5821619309918082,0.01737932115340063,0.0903306038341453,0.09922208720065144
kmeans_rbf_nlms,20,3,0.47727318580411976,0.038113090720466765,0.4354390510946179,0.510023957739304,0.47183348282394116,0.04338870901900468,0.0955226506151723,0.13638177139179378
kmeans_rbf_nlms,50,3,0.6544699463672228,0.06508777731001711,0.5847352969045801,0.713611285051744,0.2815410787262923,0.0718184456865894,0.06571798561497938,0.10088067387294995
kmeans_rbf_nlms,100,3,0.7611612616560048,0.05393642809442922,0.7124361838231771,0.8191175257041184,0.15301972129703023,0.060102074148510536,0.03563880277568077,0.04145011919788021
kmeans_rbf_nlms,200,3,0.9097167315387854,0.054887590855463984,0.8658284362637358,0.971258995082302,-0.058096778272825965,0.06790927312800367,0.02056224180682931,0.032557100891841606
