seed,abstraction,n_pairs,n_train,n_test,effective_regimes,final_train_error,monotone_history,sigma_rbf,distance_scale,seed_seconds
0,kahkm_folding_nlms,1600,1200,400,20,0.0018778350818338364,1,0.15596728889248218,0.3453909416175967,1.510655164718628
0,kmeans_hard_nlms,1600,1200,400,20,0.11548387472228275,0,0.15596728889248218,0.3453909416175967,1.5127451419830322
0,kmeans_distance_nlms,1600,1200,400,20,0.09988124743691784,0,0.15596728889248218,0.3453909416175967,1.514909267425537
0,kmeans_rbf_nlms,1600,1200,400,20,0.032922926068397335,0,0.15596728889248218,0.3453909416175967,1.5170681476593018
1,kahkm_folding_nlms,1600,1200,400,20,0.0017329172905895362,1,0.15552112377792068,0.3631406905607991,1.3926918506622314
1,kmeans_hard_nlms,1600,1200,400,20,0.11814966425559163,0,0.15552112377792068,0.3631406905607991,1.394968032836914
1,kmeans_distance_nlms,1600,1200,400,20,0.09199738550788941,0,0.15552112377792068,0.3631406905607991,1.3972139358520508
1,kmeans_rbf_nlms,1600,1200,400,20,0.03338465897227345,0,0.15552112377792068,0.3631406905607991,1.3994810581207275
2,kahkm_folding_nlms,1600,1200,400,20,0.0026614042466218788,1,0.159579477422835,0.3454785724262603,1.4236950874328613
2,kmeans_hard_nlms,1600,1200,400,20,0.1153272596209464,0,0.159579477422835,0.3454785724262603,1.425861120223999
2,kmeans_distance_nlms,1600,1200,400,20,0.09800000850026556,0,0.159579477422835,0.3454785724262603,1.4278838634490967
2,kmeans_rbf_nlms,1600,1200,400,20,0.03195910309191276,0,0.159579477422835,0.3454785724262603,1.4299960136413574
