task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
MountainCar-v0,kahkm_nlms,own_association,0.003983818711132211,0.9377095744075135,0.004462933969919279,0.9307646152361904,2.55351295663786e-15
MountainCar-v0,kmeans_hard_nlms,own_association,0.3528190936286803,0.6423493183537595,0.4143342090717587,0.5787635813335155,2.220446049250313e-16
MountainCar-v0,kmeans_distance_nlms,own_association,0.27957775307871796,0.6810761184253629,0.32071729707969004,0.6234780650854699,0.045228599513169224
MountainCar-v0,kmeans_rbf_nlms,own_association,0.0010725702336806455,0.9957075766536694,0.0012721859254405964,0.9949505989666978,9.361792332789836e-05
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.00013045732723940577,0.9979761602328071,3.552713678800501e-15
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.00012981082636102418,0.9979861896747318,3.6637359812630166e-15
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,7.117528792438031e-05,0.9988958276151219,3.9968028886505635e-15
