experiment,random_state,n_steps,dt,data_seed,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,matrix,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
03_duffing_kahkm_multistep_association_rollout,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,5,296,0.001041401323052645,0.36314431767893574,4.440892098500626e-16
03_duffing_kahkm_multistep_association_rollout,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,10,291,0.003491061101826489,-1.147024766756739,5.551115123125783e-16
03_duffing_kahkm_multistep_association_rollout,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,20,281,0.011464589549727837,-6.231741877389414,6.661338147750939e-16
03_duffing_kahkm_multistep_association_rollout,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,50,251,0.047751711106370914,-46.50655944370787,1.1102230246251565e-15
03_duffing_kahkm_multistep_association_rollout,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,100,201,0.11419327740059414,-222.5557650208378,1.3322676295501878e-15
03_duffing_kahkm_multistep_association_rollout,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,200,101,0.23828643322484633,-1711.1709123711366,1.5543122344752192e-15
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,1,300,6.870653233891937e-07,0.9992224817173452,4.4948241369699846e-05
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,2,299,1.9732320126420024e-06,0.9977635277352229,9.41332213145118e-05
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,5,296,9.155118929149741e-06,0.9895638332898272,0.000234903168637102
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,10,291,3.047475518379273e-05,0.9647119123719116,0.0004502106582404826
