system,system_key,method,method_key,R2_1_mean,R2_1_std,R2_50_mean,R2_50_std,R2_200_mean,R2_200_std,R2_1_table_cell,R2_50_table_cell,R2_200_table_cell,E1_mean,E1_std,E50_mean,E50_std,E200_mean,E200_std,E1_table_cell,E50_table_cell,E200_table_cell
Duffing,duffing,KAHKM + NLMS,kahkm_nlms,0.98354215967699909,0.00027098452676229442,0.50564775766101044,0.016673703991504751,-0.31552212758422521,0.055175821190062424,$0.9835\pm0.0003$,$0.5056\pm0.0167$,$-0.3155\pm0.0552$,0.00025021503133322061,3.9113556809497174e-05,0.0060992329377416304,0.0009254775356062968,0.0073319275624846858,0.0016707570903648601,$(2.50\pm0.39)\times10^{-4}$,$(6.10\pm0.93)\times10^{-3}$,$(7.33\pm1.67)\times10^{-3}$
Duffing,duffing,State DMD,state_dmd,0.98950804582110397,0.0021169277778529095,-0.71080714496477293,0.14333993197776648,-15.041895339822309,1.7771905154524021,$0.9895\pm0.0021$,$-0.7108\pm0.1433$,$-15.0419\pm1.7772$,0.00015925933657998508,4.1211794486838455e-05,0.020981316432455276,0.0022819136937088881,0.0883378000520363,0.015231979552780472,$(1.59\pm0.41)\times10^{-4}$,$(2.10\pm0.23)\times10^{-2}$,$(8.83\pm1.52)\times10^{-2}$
Duffing,duffing,State EDMD poly2,state_edmd_poly2,0.99844810684892427,0.0014828647481174991,0.9975219092061488,0.0018922556404377833,0.95459307396344484,0.013407363377769778,$0.9984\pm0.0015$,$0.9975\pm0.0019$,$0.9546\pm0.0134$,2.1860673473218736e-05,1.9493764862720158e-05,2.8930257601780109e-05,2.1873266360665358e-05,0.00024328616858491393,4.1783039912869074e-05,$(2.19\pm1.95)\times10^{-5}$,$(2.89\pm2.19)\times10^{-5}$,$(2.43\pm0.42)\times10^{-4}$
Duffing,duffing,State EDMD poly3,state_edmd_poly3,0.99900905705099452,0.0017037441882160902,0.99605040302514081,0.00089008508493282356,0.97740147892033313,0.011409312531623214,$0.9990\pm0.0017$,$0.9961\pm0.0009$,$0.9774\pm0.0114$,1.2605268140070661e-05,2.1625166450891824e-05,4.9404863761984962e-05,1.6671007427648889e-05,0.00013637959164547239,8.8861587216706875e-05,$(1.26\pm2.16)\times10^{-5}$,$(4.94\pm1.67)\times10^{-5}$,$(1.36\pm0.89)\times10^{-4}$
Van der Pol,vanderpol,KAHKM + NLMS,kahkm_nlms,0.99634650061458974,0.00017429636253628154,0.90197508978683949,0.0024415047187042326,0.77239952074488849,0.004423831481038496,$0.9963\pm0.0002$,$0.9020\pm0.0024$,$0.7724\pm0.0044$,0.0030535587444124775,0.00015114615969208465,0.082587470806336744,0.0021944100856180525,0.19069124355394218,0.0041789148322645244,$(3.05\pm0.15)\times10^{-3}$,$(8.26\pm0.22)\times10^{-2}$,$(1.91\pm0.04)\times10^{-1}$
Van der Pol,vanderpol,State DMD,state_dmd,0.95739628239323549,0.0015457078186056105,0.090878981548142446,0.003710628758547409,0.2050980037015715,0.0019161806705250868,$0.9574\pm0.0015$,$0.0909\pm0.0037$,$0.2051\pm0.0019$,0.035606969938725766,0.0013443863218711317,0.76592367666538974,0.002119615111333858,0.6659761561913935,0.0031927189592825325,$(3.56\pm0.13)\times10^{-2}$,$(7.66\pm0.02)\times10^{-1}$,$(6.66\pm0.03)\times10^{-1}$
Van der Pol,vanderpol,State EDMD poly2,state_edmd_poly2,0.95777299543994088,0.001429704922000632,0.077718962664155455,0.0054293272883406754,0.20613320675901395,0.0026664708063706996,$0.9578\pm0.0014$,$0.0777\pm0.0054$,$0.2061\pm0.0027$,0.03529198865880024,0.001245038924638499,0.77700889397414696,0.0033074324648893873,0.66510953081583513,0.0037339373256533139,$(3.53\pm0.12)\times10^{-2}$,$(7.77\pm0.03)\times10^{-1}$,$(6.65\pm0.04)\times10^{-1}$
Van der Pol,vanderpol,State EDMD poly3,state_edmd_poly3,0.99999960059847959,3.3715487315120122e-07,0.53386420276670254,0.017635936704135779,0.40745002122994634,0.010601703309618671,$1.0000\pm0.0000$,$0.5339\pm0.0176$,$0.4075\pm0.0106$,3.3345702450043159e-07,2.8087762235166999e-07,0.39269683022175667,0.014103515583831782,0.49642771281990633,0.0076805629541774447,$(3.33\pm2.81)\times10^{-7}$,$(3.93\pm0.14)\times10^{-1}$,$(4.96\pm0.08)\times10^{-1}$
