system,train_fraction,n_runs,train_closure_error_mean,train_closure_error_std,test_closure_error_mean,test_closure_error_std,test_association_r2_mean,test_association_r2_std,test_simplex_violation_mean,test_simplex_violation_max
duffing,0.25,3,0.0008890197327352647,0.00014746111635509973,0.00016479930521330556,7.097181492220262e-05,0.9899576624017117,0.0036442515408359835,0.0009581384175551635,0.0012921418177706968
duffing,0.5,3,0.0003151712826739653,2.2400754992299286e-05,1.1155251429546727e-05,1.4978787448201535e-05,0.991133712273868,0.01090187014841417,0.00010595116948308558,0.00018091906625578732
duffing,0.75,3,0.00020183717407375008,6.059361582583352e-05,4.645109642618163e-07,1.9373043289548255e-08,0.9941580043356231,0.0033184665147757554,1.0791009449908243e-05,1.7914823764745356e-05
vanderpol,0.25,3,0.002990652160896934,0.00035049298953021096,0.003317167491703163,0.0002535431171907366,0.9959859572199349,0.0003118697029382993,0.023299798826964976,0.025939803484653263
vanderpol,0.5,3,0.002464341297855225,0.0004938082282221863,0.0021984077721060274,0.00020267156421611957,0.9972911881440627,0.000252748687482468,0.021688612739070603,0.02198298028293234
vanderpol,0.75,3,0.002090718873015084,0.000499511399560938,0.0018889676089864325,0.00045623572968946763,0.9976467917053334,0.0005483125379307279,0.019567637851987254,0.020826889026260963
