task,n_clusters,omega,tau,train_transitions,test_transitions,fit_seconds,train_closure_error,train_r2,mean_empirical_persistence,mean_learned_persistence
CartPole-v1,100,2.0,1e-06,2000,1000,1.7451868057250977,0.16457907480822587,0.013444808734473956,0.0,0.9412837042785313
MountainCar-v0,100,2.0,1e-06,977,522,0.7382209300994873,0.008046470286665067,0.9545173635810575,0.2936306338588947,0.9986125632193757
