method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
state_dmd,5,kahkm_association_of_predicted_state,0.0027873272574122218,0.9847086987618168,2.886579864025407e-15,MountainCar-v0
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.0031395023584434778,0.9827766631373182,3.774758283725532e-15,MountainCar-v0
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.00216530208626419,0.9881211341852008,2.6645352591003757e-15,MountainCar-v0
kahkm_nlms,10,kahkm_association,0.14626518473577055,0.21407207556001273,3.9968028886505635e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.14626518473577055,0.21407207556001273,9.992007221626409e-16,MountainCar-v0
kmeans_hard_nlms,10,own_association,0.8980191216869012,0.08473382409501307,1.6653345369377348e-15,MountainCar-v0
kmeans_distance_nlms,10,own_association,0.7810459565037196,0.06485764664723903,0.0727767615773139,MountainCar-v0
kmeans_rbf_nlms,10,own_association,0.13039622732954811,0.49786585286369833,0.001132484073005251,MountainCar-v0
state_dmd,10,kahkm_association_of_predicted_state,0.010276517375010041,0.9447811043646267,3.552713678800501e-15,MountainCar-v0
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.010290730790442133,0.9447047313021654,3.3306690738754696e-15,MountainCar-v0
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.0065163282858927115,0.9649857594344612,3.9968028886505635e-15,MountainCar-v0
kahkm_nlms,20,kahkm_association,0.2766375188542406,-0.4428439986309538,7.327471962526033e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.27663751885424065,-0.442843998630954,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,20,own_association,0.9615125232719893,0.01859553579205886,2.220446049250313e-15,MountainCar-v0
kmeans_distance_nlms,20,own_association,0.8632608028164886,-0.03428776475398676,0.023401464040821947,MountainCar-v0
kmeans_rbf_nlms,20,own_association,0.49434193406230587,-0.7963659971650667,0.00290065996273612,MountainCar-v0
state_dmd,20,kahkm_association_of_predicted_state,0.04023779069914203,0.7901338362602383,3.3306690738754696e-15,MountainCar-v0
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.05186213226846603,0.729505359180191,3.552713678800501e-15,MountainCar-v0
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.03145136531205045,0.8359607406934848,3.552713678800501e-15,MountainCar-v0
kahkm_nlms,50,kahkm_association,0.40670839755827487,-1.2504938156184706,0.0008402470482798956,MountainCar-v0
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.4066672762710939,-1.2502662737160986,7.771561172376096e-16,MountainCar-v0
kmeans_hard_nlms,50,own_association,0.983139694029122,-0.0029584386873431345,2.9976021664879227e-15,MountainCar-v0
kmeans_distance_nlms,50,own_association,0.8648045204247066,-0.052492811477948376,0.027988415842324966,MountainCar-v0
kmeans_rbf_nlms,50,own_association,2.9433917321786365,-8.550811729917012,0.015192728688025299,MountainCar-v0
state_dmd,50,kahkm_association_of_predicted_state,0.23767589447761722,-0.31516372382457325,3.6637359812630166e-15,MountainCar-v0
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.17262821959225516,0.044773250500853345,3.6637359812630166e-15,MountainCar-v0
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.35215773467684475,-0.9486413577159851,4.440892098500626e-15,MountainCar-v0
