task,method,n_clusters,omega,tau,train_transitions,test_transitions,fit_seconds,train_error,test_error
CartPole-v1,kahkm_nlms,100,2.0,1e-06,2000,1000,1.8370788097381592,0.16457907480822587,0.17318359734656186
MountainCar-v0,kahkm_nlms,100,2.0,1e-06,977,490,0.7655410766601562,0.008046470286665067,0.007526151352649568
