task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.2766375188542406,0.0,-0.4428439986309538,0.0,7.327471962526033e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.06299033998502022,0.0,0.6544344546392562,0.0,2.55351295663786e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,0.40670839755827487,0.0,-1.2504938156184706,0.0,0.0008402470482798956,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.007526151352649568,0.0,0.9579844770374474,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.14626518473577055,0.0,0.21407207556001273,0.0,9.992007221626409e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.27663751885424065,0.0,-0.442843998630954,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.06299033998502021,0.0,0.6544344546392562,0.0,1.1102230246251565e-15,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.4066672762710939,0.0,-1.2502662737160986,0.0,7.771561172376096e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.31737649462317813,0.0,0.6208444476302656,0.0,0.03914578612913316,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.7810459565037196,0.0,0.06485764664723903,0.0,0.0727767615773139,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.8632608028164886,0.0,-0.03428776475398676,0.0,0.023401464040821947,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.6313998184060353,0.0,0.24479134610596898,0.0,0.09588103663232625,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.8648045204247066,0.0,-0.052492811477948376,0.0,0.027988415842324966,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,1,0.42872730978025053,0.0,0.5631655078073783,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,10,0.8980191216869012,0.0,0.08473382409501307,0.0,1.6653345369377348e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,20,0.9615125232719893,0.0,0.01859553579205886,0.0,2.220446049250313e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,5,0.7752151966284927,0.0,0.2102177937092884,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,50,0.983139694029122,0.0,-0.0029584386873431345,0.0,2.9976021664879227e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,1,0.0011978388888993123,0.0,0.995136538229209,0.0,3.485390764658899e-05,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,10,0.13039622732954811,0.0,0.49786585286369833,0.0,0.001132484073005251,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,20,0.49434193406230587,0.0,-0.7963659971650667,0.0,0.00290065996273612,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,5,0.0315150049449502,0.0,0.8749930981458419,0.0,0.0004637077310429956,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,50,2.9433917321786365,0.0,-8.550811729917012,0.0,0.015192728688025299,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,1,0.00015077166017548317,0.0,0.9991583015204744,0.0,3.3306690738754696e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,10,0.010276517375010041,0.0,0.9447811043646267,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,20,0.04023779069914203,0.0,0.7901338362602383,0.0,3.3306690738754696e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,5,0.0027873272574122218,0.0,0.9847086987618168,0.0,2.886579864025407e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,50,0.23767589447761722,0.0,-0.31516372382457325,0.0,3.6637359812630166e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,1,0.00022348789776720432,0.0,0.9987523555585704,0.0,2.886579864025407e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.010290730790442133,0.0,0.9447047313021654,0.0,3.3306690738754696e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.05186213226846603,0.0,0.729505359180191,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.0031395023584434778,0.0,0.9827766631373182,0.0,3.774758283725532e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.17262821959225516,0.0,0.044773250500853345,0.0,3.6637359812630166e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,1,0.00015591008530253746,0.0,0.9991296157275902,0.0,3.9968028886505635e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.0065163282858927115,0.0,0.9649857594344612,0.0,3.9968028886505635e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.03145136531205045,0.0,0.8359607406934848,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.00216530208626419,0.0,0.9881211341852008,0.0,2.6645352591003757e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,50,0.35215773467684475,0.0,-0.9486413577159851,0.0,4.440892098500626e-15,0.0,1
