task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,kahkm_nlms,own_association,0.3012477501970484,0.6153998093403366,0.4282211337334543,0.40976378678938563,0.05490069416536441
CartPole-v1,kmeans_hard_nlms,own_association,0.55236919161072,0.43530665855900097,0.627123167834264,0.33192802876058736,2.220446049250313e-16
CartPole-v1,kmeans_distance_nlms,own_association,0.42174382662745735,0.4854219875987267,0.31514520624963854,0.4685192363967795,0.08820649585695524
CartPole-v1,kmeans_rbf_nlms,own_association,0.05293378583675393,0.2563752063550644,0.0517636368341154,0.1381912635188154,9.992007221626409e-16
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.7608457289632574,-0.04870747033300549,3.3306690738754696e-15
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.7597288821843297,-0.047168070799443296,3.552713678800501e-15
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.6209192086771792,0.14415946909460542,3.1086244689504383e-15
