training_trajectories,robust_mean_multihorizon_r2,robust_r2_sd,robust_mean_centered_error,clean_mean_multihorizon_r2,clean_r2_sd,clean_mean_centered_error,reference_mean_multihorizon_r2,reference_r2_sd,reference_mean_centered_error,clean_minus_robust_centered_error_mean,clean_minus_robust_centered_error_sd,clean_minus_robust_centered_error_se,reference_minus_robust_centered_error_mean,reference_minus_robust_centered_error_sd,reference_minus_robust_centered_error_se,robust_r2_table_cell,clean_r2_table_cell,reference_r2_table_cell,clean_minus_robust_table_cell,reference_minus_robust_table_cell
1,0.8745440433688318,0.0055188864486054754,0.12545595663116818,0.8767549640456423,0.013446088954586797,0.12324503595435765,0.8794892699634713,0.008130238724639405,0.12051073003652873,-0.0022109206768105385,0.009446272288878843,0.005453807848822703,-0.00494522659463946,0.013409375033593005,0.007741906285309568,$0.8745\pm0.0055$,$0.8768\pm0.0134$,$0.8795\pm0.0081$,$-0.0022\pm0.0055$,$-0.0049\pm0.0077$
2,0.8876490743099096,0.005041797030869638,0.11235092569009039,0.8840034375977812,0.004710890295857388,0.11599656240221883,0.8889085924298481,0.012488422685460144,0.1110914075701519,0.0036456367121284286,0.00523854370238959,0.003024474616736249,-0.0012595181199385002,0.011033531905605309,0.0063702126158135496,$0.8876\pm0.0050$,$0.8840\pm0.0047$,$0.8889\pm0.0125$,$+0.0036\pm0.0030$,$-0.0013\pm0.0064$
3,0.8930150395676713,0.006166539608720653,0.10698496043232872,0.8935502066162317,0.006522598710290154,0.10644979338376823,0.8982199762720338,0.004361977421387391,0.10178002372796623,-0.000535167048560492,0.005635972069955996,0.003253929991734307,-0.0052049367043624966,0.00885654070753467,0.00511332616158402,$0.8930\pm0.0062$,$0.8936\pm0.0065$,$0.8982\pm0.0044$,$-0.0005\pm0.0033$,$-0.0052\pm0.0051$
5,0.8985491794626477,0.002878859247642958,0.10145082053735237,0.8861149697779913,0.002720241475477936,0.1138850302220087,0.8957793068938399,0.0069874520866890855,0.10422069310616011,0.012434209684656328,0.004129406143271443,0.002384113748411062,0.0027698725688077436,0.006186445203795175,0.0035717458037380135,$0.8985\pm0.0029$,$0.8861\pm0.0027$,$0.8958\pm0.0070$,$+0.0124\pm0.0024$,$+0.0028\pm0.0036$
8,0.9020567439025682,0.010013855165015894,0.09794325609743178,0.8890604609009073,0.004456271446284552,0.11093953909909267,0.907674379240762,0.002967489731083986,0.09232562075923799,0.012996283001660891,0.005591963989850493,0.0032285219148388763,-0.005617635338193788,0.012091156328771733,0.006980832361230207,$0.9021\pm0.0100$,$0.8891\pm0.0045$,$0.9077\pm0.0030$,$+0.0130\pm0.0032$,$-0.0056\pm0.0070$
