system,operator,num_regimes,subsample_size,num_valid_modes,spectral_radius,max_abs_imag_lambda,min_rkhs_residual,median_rkhs_residual,mean_rkhs_residual,q25_rkhs_residual,q75_rkhs_residual,max_rkhs_residual,median_representation_error,max_representation_error,median_matrix_formula_residual,modes_with_residual_le_0.001,modes_with_residual_le_0.01,modes_with_residual_le_0.05,modes_with_residual_le_0.1,n_clusters,omega,tau,state_dim,requested_subspace_dim,effective_subspace_dim,train_snapshots,test_snapshots,fit_train_closure_error,fit_train_association_r2,wall_seconds_so_far_system,train_closure_error,test_closure_error,test_association_r2,test_simplex_violation
duffing,nlms,10,800,10,0.9999999999999997,0.03199518965330178,0.0052475279411169735,0.2298642972130075,0.23370608513372731,0.06523974765296177,0.28046440708584636,0.7639327341360622,6.838997418370572e-06,2.140253262014367e-05,0.2298642972130211,0,1,3,3,10,2.0,1e-06,2,4,2,3600,2400,0.00013795435795396245,0.9848010255768438,3.1040072441101074,0.00013795435795396245,0.000250255143929194,0.9835266167215356,8.881784197001252e-16
duffing,ridge_ls,10,800,10,1.0000000000148987,0.06490801740404722,0.0009754597190381984,0.023026082000521333,0.03232256611221037,0.009011433584103943,0.04348557286799982,0.1059359708867789,1.473128533457092e-06,1.912386767682426e-06,0.023026082000522217,1,3,8,9,10,2.0,1e-06,2,4,2,3600,2400,0.00013795435795396245,0.9848010255768438,3.173725128173828,0.00013179553738197457,0.00024067071254510006,0.9841575248787762,2.009821642445786e-09
vanderpol,nlms,10,800,10,0.9999999999999996,0.026893158878152246,0.004586951277183415,0.04422998704535233,0.04940152876412719,0.027104309041123514,0.07378773806539188,0.0991982184079325,3.331883895349271e-07,1.450259351753669e-06,0.044229987045349674,0,1,7,10,10,0.25,1e-06,2,4,2,3600,2400,0.00019870907136187044,0.9894327864770364,3.0408987998962402,0.00019870907136187044,0.00017863470923530544,0.9903647066173773,6.661338147750939e-16
vanderpol,ridge_ls,10,800,10,0.999999999971232,0.05572464984630823,0.0004349742940667828,0.014103223114873649,0.013723928100908254,0.0060628210245429835,0.019910968040732446,0.02993227423461784,1.8828294937826415e-07,8.136797253167863e-07,0.014103223114867242,1,3,10,10,10,0.25,1e-06,2,4,2,3600,2400,0.00019870907136187044,0.9894327864770364,3.1151480674743652,0.00018965143416142208,0.00017007175337374885,0.9908265798574757,2.4728641356830394e-10
