system,operator,mode_index,lambda_real,lambda_imag,lambda_abs,rkhs_residual_feature,rkhs_residual_matrix_formula,feature_matrix_formula_abs_diff,representation_error,denominator_norm,subsample_size,num_regimes,rank_by_residual
duffing,nlms,8,0.9999999999999997,1.0638619664481761e-33,0.9999999999999997,0.0052475279411169735,0.005247527941098899,1.8074083896202353e-14,1.7865427579011434e-07,0.9999999982206169,800,10,1
duffing,nlms,0,0.9895990297955236,0.031995189653301725,0.9901161204289083,0.027881871213222817,0.027881871213224635,1.817990202823694e-15,3.0466088931857616e-07,0.9999999658522757,800,10,2
duffing,nlms,1,0.9895990297955239,-0.03199518965330178,0.9901161204289086,0.02788187121322356,0.02788187121322636,2.7998436902265667e-15,3.04660889282157e-07,0.9999999658522674,800,10,3
duffing,nlms,2,0.9866745286311818,-1.5335169744385965e-18,0.9866745286311818,0.1773133769721764,0.17731337697217628,1.1102230246251565e-16,2.015588377593697e-06,0.9999995746891224,800,10,4
duffing,nlms,3,0.9929005869228871,-6.611200514793614e-19,0.9929005869228871,0.2148060510797032,0.21480605107970632,3.1363800445660672e-15,3.1158379702252326e-06,0.9999992322425181,800,10,5
duffing,nlms,6,0.9997441976842479,3.405738586962418e-33,0.9997441976842479,0.24492254334631178,0.24492254334633584,2.4064084058750268e-14,1.0562156866515911e-05,0.9999924796829609,800,10,6
duffing,nlms,5,0.9994390208090669,-0.0005959134440204574,0.9994391984651289,0.2804644070858399,0.28046440708584636,6.439293542825908e-15,1.1108276671148132e-05,0.9999925412906759,800,10,7
duffing,nlms,4,0.9994390208090671,0.0005959134440205006,0.9994391984651291,0.2804644070858485,0.2804644070858415,6.994405055138486e-15,1.110827666889061e-05,0.9999925412906259,800,10,8
duffing,nlms,7,0.9998500033515945,-6.121175757195577e-32,0.9998500033515945,0.3141460612637678,0.31414606126380096,3.314015728506092e-14,1.7015843261009633e-05,0.9999852823679825,800,10,9
duffing,nlms,9,0.9999404007369469,-3.854313376318096e-32,0.9999404007369469,0.7639327341360622,0.7639327341361409,7.87148124459236e-14,2.140253262014367e-05,0.9999806986457761,800,10,10
duffing,ridge_ls,9,1.0000000000148987,-2.7835719612164782e-33,1.0000000000148987,0.0009754597190381984,0.0009754597190370082,1.1901287247373382e-15,2.2241313803025527e-08,0.9999999995974944,800,10,1
duffing,ridge_ls,4,0.9972969493815115,-0.04093644322506425,0.9981367629887139,0.007585505045911471,0.007585505045915663,4.191959279697954e-15,1.896387541989683e-07,0.9999999770128969,800,10,2
duffing,ridge_ls,6,0.997296949381513,0.04093644322506477,0.9981367629887155,0.007585505045912821,0.0075855050459126975,1.231653667943533e-16,1.8963875430890694e-07,0.9999999770128946,800,10,3
duffing,ridge_ls,5,0.9868152012884709,-0.02293993768821458,0.9870818011872899,0.01328921919867731,0.013289219198682149,4.838143774499315e-15,1.5763156021319731e-06,0.9999997203577604,800,10,4
duffing,ridge_ls,7,0.9868152012884714,0.02293993768821465,0.9870818011872905,0.013289219198677605,0.013289219198685118,7.513087374455552e-15,1.5763156018618647e-06,0.9999997203577369,800,10,5
duffing,ridge_ls,2,0.9916219708798976,-0.06490801740404689,0.9937440233053261,0.03276294480236506,0.03276294480236394,1.1171619185290638e-15,1.5612931173034723e-06,0.9999997820105506,800,10,6
duffing,ridge_ls,3,0.9916219708798971,0.06490801740404722,0.9937440233053256,0.032762944802365655,0.03276294480235932,6.3352101342672995e-15,1.5612931173990884e-06,0.9999997820105353,800,10,7
duffing,ridge_ls,8,0.9984309508029459,3.779869760372935e-33,0.9984309508029459,0.04705978222321121,0.04705978222320607,5.134781488891349e-15,6.821311190777964e-07,0.999999726338278,800,10,8
duffing,ridge_ls,1,0.9154524897516262,-6.703173596994423e-18,0.9154524897516262,0.0619791101991655,0.061979110199168755,3.25434124093249e-15,1.3849639496107119e-06,0.9999996980346786,800,10,9
duffing,ridge_ls,0,0.8831236462788715,2.287395533401293e-16,0.8831236462788715,0.1059359708867789,0.10593597088678298,4.08006961549745e-15,1.912386767682426e-06,0.9999996747545029,800,10,10
vanderpol,nlms,6,0.9999999999999996,-9.405443888170918e-19,0.9999999999999996,0.004586951277183415,0.004586951277180206,3.209238430557093e-15,3.430669434057547e-08,0.999999998892706,800,10,1
vanderpol,nlms,0,0.9970243355660782,-0.026893158878152246,0.9973869698895335,0.022235541376320396,0.022235541376319827,5.689893001203927e-16,1.3282079642613102e-07,0.9999999538986628,800,10,2
vanderpol,nlms,1,0.9970243355660776,0.026893158878151996,0.9973869698895329,0.022235541376320632,0.022235541376320143,4.891920202254596e-16,1.328207962616522e-07,0.9999999538986628,800,10,3
vanderpol,nlms,2,0.9913703655888966,-0.0176034590085025,0.9915266428780047,0.04171061203553216,0.04171061203552641,5.752343046339092e-15,3.721926162690478e-07,0.9999998226032194,800,10,4
vanderpol,nlms,3,0.9913703655888955,0.017603459008502277,0.9915266428780036,0.041710612035532495,0.041710612035527964,4.53109771925142e-15,3.7219261611353483e-07,0.9999998226032191,800,10,5
vanderpol,nlms,5,0.9923655080867382,0.010430187875576228,0.992420319451073,0.04674936205517216,0.046749362055171384,7.771561172376096e-16,2.941841629563194e-07,0.9999998348792213,800,10,6
vanderpol,nlms,4,0.9923655080867383,-0.010430187875576178,0.9924203194510731,0.04674936205517365,0.04674936205517246,1.1934897514720433e-15,2.941841629457093e-07,0.9999998348792224,800,10,7
vanderpol,nlms,7,0.9942817137353837,2.0336691768509462e-17,0.9942817137353837,0.08280053006879795,0.08280053006880597,8.021361352916756e-15,9.99963400635981e-07,0.9999990983447243,800,10,8
