method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.009227982996839643,0.9832665277894314,0.032398668451386635,MountainCar-v0
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.009130118916182222,0.9834439886576032,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,1,own_association,0.3213115191668122,0.6422569512203655,2.220446049250313e-16,MountainCar-v0
kmeans_distance_nlms,1,own_association,0.06426464536583625,0.9053957418688039,1.1102230246251565e-15,MountainCar-v0
kmeans_rbf_nlms,1,own_association,0.0007596741889674368,0.9956538629738849,6.661338147750939e-16,MountainCar-v0
state_dmd,1,kahkm_association_of_predicted_state,3.0479505708536442e-05,0.9999447302880878,5.551115123125783e-16,MountainCar-v0
state_edmd_poly2,1,kahkm_association_of_predicted_state,2.4362838438074792e-05,0.9999558218865257,5.551115123125783e-16,MountainCar-v0
state_edmd_poly3,1,kahkm_association_of_predicted_state,1.5530138629470027e-05,0.9999718385758544,4.440892098500626e-16,MountainCar-v0
kahkm_nlms,5,kahkm_association,0.15213883269675052,0.7279177173884919,0.06170760436231568,MountainCar-v0
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.15206105622962354,0.7280568113879282,5.551115123125783e-16,MountainCar-v0
kmeans_hard_nlms,5,own_association,0.7562445434906809,0.16083374256093597,6.661338147750939e-16,MountainCar-v0
kmeans_distance_nlms,5,own_association,0.37682224962860994,0.44956467794534394,0.046852120317477056,MountainCar-v0
kmeans_rbf_nlms,5,own_association,0.019870532947260957,0.8892016454724236,0.0010332068100414545,MountainCar-v0
state_dmd,5,kahkm_association_of_predicted_state,0.0036740340894478034,0.9934294251919102,4.440892098500626e-16,MountainCar-v0
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.0027057311548219793,0.995161120302504,4.440892098500626e-16,MountainCar-v0
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.0014889683157426183,0.9973371565240613,5.551115123125783e-16,MountainCar-v0
kahkm_nlms,10,kahkm_association,0.4169132393293258,0.2671853874304486,0.03843874892327849,MountainCar-v0
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.4181893002281947,0.26494243617583246,5.551115123125783e-16,MountainCar-v0
kmeans_hard_nlms,10,own_association,0.8947484655108215,0.011329641262301071,1.1102230246251565e-15,MountainCar-v0
kmeans_distance_nlms,10,own_association,0.5890126981093894,0.14390776518093584,0.059060205053694005,MountainCar-v0
kmeans_rbf_nlms,10,own_association,0.08198914626064117,0.5576946702896668,0.0025089267114055997,MountainCar-v0
state_dmd,10,kahkm_association_of_predicted_state,0.027042008258729423,0.9524678591711264,4.440892098500626e-16,MountainCar-v0
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.02162641841793824,0.9619869221238865,5.551115123125783e-16,MountainCar-v0
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.013802437199117942,0.9757392504856448,5.551115123125783e-16,MountainCar-v0
kahkm_nlms,20,kahkm_association,0.8301996049439601,-0.4123160851272625,0.031453274588460506,MountainCar-v0
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.8321827772004937,-0.4156898112297578,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,20,own_association,1.0114952068122973,-0.10467324882527285,1.9984014443252818e-15,MountainCar-v0
kmeans_distance_nlms,20,own_association,0.7996718301652591,-0.16301642154682883,0.07158425227821943,MountainCar-v0
kmeans_rbf_nlms,20,own_association,0.31549729352578976,-0.5913273243678792,5.773159728050814e-15,MountainCar-v0
state_dmd,20,kahkm_association_of_predicted_state,0.12405515595646233,0.7889602799653108,5.551115123125783e-16,MountainCar-v0
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.15787936267102307,0.731419333275908,5.551115123125783e-16,MountainCar-v0
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.09902110034533831,0.8315476278814152,5.551115123125783e-16,MountainCar-v0
kahkm_nlms,50,kahkm_association,2.6037634498716535,-3.3496053822173373,0.8464180639057658,MountainCar-v0
kahkm_nlms_simplex_project_each_step,50,kahkm_association,2.525015061660783,-3.2180556390101245,4.440892098500626e-16,MountainCar-v0
kmeans_hard_nlms,50,own_association,1.3604784714707912,-0.4862994172555877,3.1086244689504383e-15,MountainCar-v0
kmeans_distance_nlms,50,own_association,0.9303547920389682,-0.3699364461939547,1.1324274851176597e-14,MountainCar-v0
kmeans_rbf_nlms,50,own_association,2.2870960062490946,-8.740196663583543,0.06371310833660364,MountainCar-v0
state_dmd,50,kahkm_association_of_predicted_state,0.5760670579870903,0.03767587794418659,4.440892098500626e-16,MountainCar-v0
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.5156638003452114,0.1385799499156738,5.551115123125783e-16,MountainCar-v0
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.8042236754726515,-0.3434613760765719,6.661338147750939e-16,MountainCar-v0
