task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,1,0.002208820679480276,0.0,0.990195576671136,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,10,0.12555881916935593,0.0,0.4717679219598735,0.0,0.006364054510841956,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.387586580046796,0.0,-0.5325119780763434,0.0,6.8833827526759706e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.03818454998062216,0.0,0.8344466961861303,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,0.7090799298915763,0.0,-1.3358878882291885,0.0,2.4868995751603507e-14,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.002208820679480276,0.0,0.990195576671136,0.0,3.3306690738754696e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.12537411948488977,0.0,0.47254496254359635,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.38758658004679597,0.0,-0.5325119780763432,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.038184549980622165,0.0,0.8344466961861303,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.7090799298915764,0.0,-1.3358878882291885,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.041760244563080445,0.0,0.9354432933770888,0.0,7.771561172376096e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.5137372112834446,0.0,0.2159358390708228,0.0,0.06901726423056903,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.7418882374584955,0.0,-0.11881921996119815,0.0,0.009075026630969457,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.32199297363827384,0.0,0.5064227333024248,0.0,0.051441568512805284,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.9096737150320172,0.0,-0.4409112389222962,0.0,1.1435297153639112e-14,0.0,1
