task,method,n_clusters,omega,test_error,test_r2,simplex_violation
Acrobot-v1,kahkm_nlms,50,2.0,0.10381130329109203,0.7702882102208974,0.0010055769648698747
Acrobot-v1,kahkm_nlms_simplex_project,50,2.0,0.10381109334366156,0.7702886747888057,8.881784197001252e-16
Acrobot-v1,kmeans_hard_nlms,50,2.0,0.7343197905114203,0.24012997382902546,2.220446049250313e-16
Acrobot-v1,kmeans_distance_nlms,50,2.0,0.17047608009631995,0.6243829932790566,0.004492906943120301
Acrobot-v1,kmeans_rbf_nlms,50,2.0,0.040368838274300996,0.7727261713034579,0.004361354481507721
Acrobot-v1,state_dmd,50,2.0,0.174859991785492,0.6130729467756209,8.881784197001252e-16
Acrobot-v1,state_edmd_poly2,50,2.0,0.08391523203428011,0.8143138798067933,9.992007221626409e-16
Acrobot-v1,state_edmd_poly3,50,2.0,0.039681548191690626,0.9121933819599668,8.881784197001252e-16
