method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega,effective_subspace_dim
kahkm_nlms,20,0.839499959611038,-0.017615665153188242,3.1086244689504383e-15,965,Acrobot-v1,10,10.0,6
kahkm_nlms,50,0.9258457437726282,-0.11757990709959465,3.9968028886505635e-15,785,Acrobot-v1,10,10.0,6
kahkm_nlms,1,0.3957278543734934,0.518002036458693,0.02088772531780124,1079,Acrobot-v1,10,12.0,6
kahkm_nlms,5,0.6802057635658809,0.17548619899302142,0.0060900298700752795,1055,Acrobot-v1,10,12.0,6
kahkm_nlms,10,0.764232819466487,0.0786646476342231,0.005428927769835302,1025,Acrobot-v1,10,12.0,6
kahkm_nlms,20,0.852444455234989,-0.020174689068593876,4.9960036108132044e-15,965,Acrobot-v1,10,12.0,6
kahkm_nlms,50,0.9348829007640299,-0.11641793272067158,9.658940314238862e-15,785,Acrobot-v1,10,12.0,6
kahkm_nlms,1,0.09309961023075926,0.7860383608775703,0.0008386828812707999,1079,Acrobot-v1,25,2.0,6
kahkm_nlms,5,0.20578853930532737,0.5297660827625661,0.0027837295322124572,1055,Acrobot-v1,25,2.0,6
kahkm_nlms,10,0.24050472276844,0.45396894585474545,1.3988810110276972e-14,1025,Acrobot-v1,25,2.0,6
kahkm_nlms,20,0.27868550312682105,0.36898706830566963,2.1094237467877974e-14,965,Acrobot-v1,25,2.0,6
kahkm_nlms,50,0.34488850807939203,0.20119289779368155,3.4861002973229915e-14,785,Acrobot-v1,25,2.0,6
kahkm_nlms,1,0.2776554592886655,0.6291896050973622,0.023699749585532528,1079,Acrobot-v1,25,4.0,6
kahkm_nlms,5,0.5226292590295286,0.30659328876517633,0.02465918306354792,1055,Acrobot-v1,25,4.0,6
kahkm_nlms,10,0.5789501605208807,0.2374407334644857,0.006093407730540547,1025,Acrobot-v1,25,4.0,6
kahkm_nlms,20,0.6378599348269774,0.1680126720704037,0.0034696826188500194,965,Acrobot-v1,25,4.0,6
kahkm_nlms,50,0.7290648251441545,0.05602439865935449,8.881784197001252e-15,785,Acrobot-v1,25,4.0,6
kahkm_nlms,1,0.4092708960434369,0.5205096459060425,0.03252809691284719,1079,Acrobot-v1,25,6.0,6
kahkm_nlms,5,0.6694965461680912,0.21901374447699717,0.039370208848643534,1055,Acrobot-v1,25,6.0,6
kahkm_nlms,10,0.721990226638951,0.1616347387215772,0.005430847070751383,1025,Acrobot-v1,25,6.0,6
kahkm_nlms,20,0.7705784942202026,0.1114499709546567,0.0032073268871306475,965,Acrobot-v1,25,6.0,6
kahkm_nlms,50,0.8545964903759316,0.020036341110047484,5.10702591327572e-15,785,Acrobot-v1,25,6.0,6
kahkm_nlms,1,0.4785330824364189,0.46204037500619444,0.04215888151044545,1079,Acrobot-v1,25,8.0,6
kahkm_nlms,5,0.7271780451745998,0.18512894635977628,0.03371970337579471,1055,Acrobot-v1,25,8.0,6
kahkm_nlms,10,0.7751281216403219,0.13421733906348887,0.00591438526775567,1025,Acrobot-v1,25,8.0,6
kahkm_nlms,20,0.8156197686574058,0.09359887240335296,0.0023135074982779755,965,Acrobot-v1,25,8.0,6
kahkm_nlms,50,0.8922383967338452,0.010625297052157978,8.43769498715119e-15,785,Acrobot-v1,25,8.0,6
kahkm_nlms,1,0.5185673015003017,0.426851018213082,0.052258712654711686,1079,Acrobot-v1,25,10.0,6
kahkm_nlms,5,0.7554749662275002,0.1672479932087051,0.02624709097270773,1055,Acrobot-v1,25,10.0,6
kahkm_nlms,10,0.8010943905995757,0.11929433720350557,0.004027640877951289,1025,Acrobot-v1,25,10.0,6
kahkm_nlms,20,0.8374279101844525,0.08315016064068492,0.0005582399351309788,965,Acrobot-v1,25,10.0,6
kahkm_nlms,50,0.9090104946185698,0.0053060984765250785,1.8984813721090177e-14,785,Acrobot-v1,25,10.0,6
kahkm_nlms,1,0.544354226961899,0.4035029440156762,0.054892650441873365,1079,Acrobot-v1,25,12.0,6
kahkm_nlms,5,0.7720898758274586,0.1559944278235733,0.01964638214052699,1055,Acrobot-v1,25,12.0,6
kahkm_nlms,10,0.8164339168876701,0.10960016015496254,0.0012020692407407672,1025,Acrobot-v1,25,12.0,6
kahkm_nlms,20,0.8507736725150985,0.0755255409292046,8.215650382226158e-15,965,Acrobot-v1,25,12.0,6
kahkm_nlms,50,0.9190396311672823,0.0010615519147687547,1.554312234475219e-14,785,Acrobot-v1,25,12.0,6
kahkm_nlms,1,0.10381130329109205,0.7702882102208974,0.001005576964869876,1079,Acrobot-v1,50,2.0,6
kahkm_nlms,5,0.18744398292110778,0.5856139775139146,0.019360060689787125,1055,Acrobot-v1,50,2.0,6
kahkm_nlms,10,0.24114696784167006,0.46614088690505584,0.006357162662460548,1025,Acrobot-v1,50,2.0,6
kahkm_nlms,20,0.27925330144472515,0.3759774182277006,0.004105352943883638,965,Acrobot-v1,50,2.0,6
kahkm_nlms,50,0.3359878976932059,0.20205197507342343,1.2878587085651816e-14,785,Acrobot-v1,50,2.0,6
kahkm_nlms,1,0.2579682114179258,0.679014385061032,0.04215871853983028,1079,Acrobot-v1,50,4.0,6
kahkm_nlms,5,0.4865653517504074,0.3971752941496751,0.07960966805988584,1055,Acrobot-v1,50,4.0,6
kahkm_nlms,10,0.5847550626631375,0.2781338470414192,0.027466943375756205,1025,Acrobot-v1,50,4.0,6
kahkm_nlms,20,0.6645745753231317,0.18092162545693824,0.013729229413854365,965,Acrobot-v1,50,4.0,6
kahkm_nlms,50,0.7395182072070478,0.06847093755701594,1.199040866595169e-14,785,Acrobot-v1,50,4.0,6
kahkm_nlms,1,0.3992397258193273,0.5570459120023387,0.07220612755274948,1079,Acrobot-v1,50,6.0,6
kahkm_nlms,5,0.6611087377098894,0.26878125974460754,0.08837090448300505,1055,Acrobot-v1,50,6.0,6
kahkm_nlms,10,0.7455751921541948,0.17763760667894302,0.034385273183005015,1025,Acrobot-v1,50,6.0,6
kahkm_nlms,20,0.8088113540055788,0.10965183431633496,0.010571952855923938,965,Acrobot-v1,50,6.0,6
kahkm_nlms,50,0.8690197995740492,0.033505937105035244,1.2101430968414206e-14,785,Acrobot-v1,50,6.0,6
kahkm_nlms,1,0.476858760425576,0.48734296623313333,0.06295528997471479,1079,Acrobot-v1,50,8.0,6
kahkm_nlms,5,0.7331788970909089,0.2135667081823327,0.0763961454807344,1055,Acrobot-v1,50,8.0,6
kahkm_nlms,10,0.8040612846503433,0.13922414302945363,0.026483144334049913,1025,Acrobot-v1,50,8.0,6
kahkm_nlms,20,0.854685465137324,0.08608939795987791,0.004589325171281942,965,Acrobot-v1,50,8.0,6
kahkm_nlms,50,0.9052325961580334,0.023062635709474644,1.1213252548714081e-14,785,Acrobot-v1,50,8.0,6
kahkm_nlms,1,0.5222935093968986,0.44522247835879736,0.051166587811693025,1079,Acrobot-v1,50,10.0,6
kahkm_nlms,5,0.7687098740933078,0.18501932269270405,0.06350329777592258,1055,Acrobot-v1,50,10.0,6
kahkm_nlms,10,0.8310594128098675,0.12030865664291535,0.016625881463806336,1025,Acrobot-v1,50,10.0,6
kahkm_nlms,20,0.8741683881755602,0.0753740300312008,0.0020632433215899467,965,Acrobot-v1,50,10.0,6
kahkm_nlms,50,0.9184375391895334,0.0198096336054564,1.7319479184152442e-14,785,Acrobot-v1,50,10.0,6
kahkm_nlms,1,0.5517439781890356,0.417386806360327,0.04417522306224135,1079,Acrobot-v1,50,12.0,6
kahkm_nlms,5,0.7897485908664319,0.16748178776767708,0.05289823655977072,1055,Acrobot-v1,50,12.0,6
kahkm_nlms,10,0.8464530120031525,0.10894353580521288,0.009533448970759575,1025,Acrobot-v1,50,12.0,6
kahkm_nlms,20,0.8846426155202254,0.06926914529041839,0.0013069328343373247,965,Acrobot-v1,50,12.0,6
kahkm_nlms,50,0.9243081929805443,0.018990953581894177,1.021405182655144e-14,785,Acrobot-v1,50,12.0,6
kahkm_nlms,1,0.13392799647647616,0.7073259847275724,0.002953819353407699,1079,Acrobot-v1,75,2.0,6
kahkm_nlms,5,0.21580610639802936,0.5280521130857989,0.019018033820901798,1055,Acrobot-v1,75,2.0,6
kahkm_nlms,10,0.2584445630232528,0.43358335468225095,0.01602058894169602,1025,Acrobot-v1,75,2.0,6
kahkm_nlms,20,0.28984571134266024,0.356877466930709,0.0031745134370382714,965,Acrobot-v1,75,2.0,6
kahkm_nlms,50,0.33725650712385924,0.20749184711633428,1.865174681370263e-14,785,Acrobot-v1,75,2.0,6
kahkm_nlms,1,0.2807922173005651,0.6623192266567794,0.034449849993124795,1079,Acrobot-v1,75,4.0,6
kahkm_nlms,5,0.5154454497230574,0.3821073384868746,0.04970118214170957,1055,Acrobot-v1,75,4.0,6
kahkm_nlms,10,0.6136422401334899,0.2659066296576128,0.05578111269061962,1025,Acrobot-v1,75,4.0,6
kahkm_nlms,20,0.6962175968526005,0.1674449510446394,0.026656957023566987,965,Acrobot-v1,75,4.0,6
kahkm_nlms,50,0.7630762017320697,0.06897148619125049,0.00010325669967568276,785,Acrobot-v1,75,4.0,6
kahkm_nlms,1,0.4277123472007138,0.5384118479578035,0.09054268818722724,1079,Acrobot-v1,75,6.0,6
kahkm_nlms,5,0.7008192212258645,0.24534930322378645,0.07944224432696614,1055,Acrobot-v1,75,6.0,6
kahkm_nlms,10,0.7829124619841933,0.158390704333762,0.05822847503923242,1025,Acrobot-v1,75,6.0,6
kahkm_nlms,20,0.8459127560479464,0.09229585123028439,0.03178188921286727,965,Acrobot-v1,75,6.0,6
kahkm_nlms,50,0.8942859782425931,0.034416445981734434,1.0658141036401503e-14,785,Acrobot-v1,75,6.0,6
kahkm_nlms,1,0.5071712325053688,0.4673265073660635,0.11766088513909284,1079,Acrobot-v1,75,8.0,6
kahkm_nlms,5,0.7775089807682677,0.18461471471448576,0.08841051572028133,1055,Acrobot-v1,75,8.0,6
kahkm_nlms,10,0.8460904526475059,0.11370668924923766,0.04495987541397518,1025,Acrobot-v1,75,8.0,6
kahkm_nlms,20,0.8939669285052196,0.06475005431540315,0.019580583725846687,965,Acrobot-v1,75,8.0,6
kahkm_nlms,50,0.9284949500264149,0.02412444529455071,8.43769498715119e-15,785,Acrobot-v1,75,8.0,6
kahkm_nlms,1,0.5542194410572661,0.4235963390376093,0.1107115197641251,1079,Acrobot-v1,75,10.0,6
kahkm_nlms,5,0.8153770875960322,0.15297211051165893,0.08246297895375404,1055,Acrobot-v1,75,10.0,6
kahkm_nlms,10,0.8755471835067462,0.0912598199703415,0.04184556643810043,1025,Acrobot-v1,75,10.0,6
kahkm_nlms,20,0.9144952578105109,0.05177769498994922,0.010387490992674964,965,Acrobot-v1,75,10.0,6
kahkm_nlms,50,0.9420257000855737,0.019120264433598266,3.7414515929867775e-14,785,Acrobot-v1,75,10.0,6
kahkm_nlms,1,0.5862803110976662,0.3930888199094211,0.0910151657794623,1079,Acrobot-v1,75,12.0,6
kahkm_nlms,5,0.8376181345369418,0.1337653337080983,0.07207350430212317,1055,Acrobot-v1,75,12.0,6
kahkm_nlms,10,0.8921372502853898,0.07805358377682015,0.03405951253044897,1025,Acrobot-v1,75,12.0,6
kahkm_nlms,20,0.925368162225785,0.0445262775276658,0.0034754916036748486,965,Acrobot-v1,75,12.0,6
kahkm_nlms,50,0.9486861110706016,0.016551856187566605,1.1546319456101628e-14,785,Acrobot-v1,75,12.0,6
kahkm_nlms,1,0.14376033044665248,0.6842903962319486,0.0007300157118731883,1079,Acrobot-v1,100,2.0,6
kahkm_nlms,5,0.23998624974078644,0.47222465648799417,0.016784932445435184,1055,Acrobot-v1,100,2.0,6
kahkm_nlms,10,0.27473283288936273,0.39383153552757055,0.014693253302548896,1025,Acrobot-v1,100,2.0,6
kahkm_nlms,20,0.301115374955509,0.3256176058761179,0.007478223681618518,965,Acrobot-v1,100,2.0,6
kahkm_nlms,50,0.33970330274387556,0.19186718229696365,0.0010450065358471588,785,Acrobot-v1,100,2.0,6
kahkm_nlms,1,0.29750854471560184,0.6473570111728086,0.05861223495990521,1079,Acrobot-v1,100,4.0,6
kahkm_nlms,5,0.5294285239210779,0.3741025391727545,0.06889516100340957,1055,Acrobot-v1,100,4.0,6
kahkm_nlms,10,0.623347541994565,0.26439192931598354,0.034707926416658264,1025,Acrobot-v1,100,4.0,6
kahkm_nlms,20,0.716082543443379,0.1540397190005115,0.02057995287580065,965,Acrobot-v1,100,4.0,6
