seed,abstraction,n_pairs,n_train,n_test,effective_regimes,final_train_error,monotone_history,sigma_rbf,distance_scale,seed_seconds
0,kahkm_folding_nlms,1600,1200,400,20,0.0018778350818338364,1,0.15596728889248218,0.34539094161759654,1.5233149528503418
0,kmeans_hard_nlms,1600,1200,400,20,0.11548387472228275,0,0.15596728889248218,0.34539094161759654,1.525331974029541
0,kmeans_distance_nlms,1600,1200,400,20,0.09988124743685498,0,0.15596728889248218,0.34539094161759654,1.5272789001464844
0,kmeans_rbf_nlms,1600,1200,400,20,0.032922926068397314,0,0.15596728889248218,0.34539094161759654,1.529453992843628
1,kahkm_folding_nlms,1600,1200,400,20,0.0017329172905895362,1,0.15552112377792068,0.3631406905607991,1.4132139682769775
1,kmeans_hard_nlms,1600,1200,400,20,0.11814966425559163,0,0.15552112377792068,0.3631406905607991,1.415457010269165
1,kmeans_distance_nlms,1600,1200,400,20,0.09199738550788944,0,0.15552112377792068,0.3631406905607991,1.417504072189331
1,kmeans_rbf_nlms,1600,1200,400,20,0.03338465897227348,0,0.15552112377792068,0.3631406905607991,1.4195990562438965
2,kahkm_folding_nlms,1600,1200,400,20,0.0026614042466218788,1,0.159579477422835,0.34547857242626057,1.3887460231781006
2,kmeans_hard_nlms,1600,1200,400,20,0.1153272596209464,0,0.159579477422835,0.34547857242626057,1.3908801078796387
2,kmeans_distance_nlms,1600,1200,400,20,0.0980000085002653,0,0.159579477422835,0.34547857242626057,1.3929710388183594
2,kmeans_rbf_nlms,1600,1200,400,20,0.031959103091912716,0,0.159579477422835,0.34547857242626057,1.3951129913330078
