n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
15,4.0,1,3,0.0013115754647288547,0.00025608083079049776,0.0010162159777226476,0.0014714810814083097,0.9983303909190385,0.00031802689355863145,0.019908845252095336,0.020310183499277962
10,4.0,1,3,0.0016262675928084547,4.1608023322143796e-05,0.0015790230145509775,0.0016574522872245935,0.9978452420474208,5.312898377647923e-05,0.010234820361274691,0.010778424370362085
20,4.0,1,3,0.0018889676089864325,0.0004562357296894676,0.0014896559613020658,0.0023862199668524147,0.9976467917053333,0.0005483125379307279,0.019567637851987254,0.020826889026260963
20,8.0,1,3,0.0029635221666520755,0.00028442731690070643,0.0026424314836855064,0.0031838544513870565,0.9965718876787942,0.00030826483131647463,0.02515586442008981,0.02580351585700073
25,8.0,1,3,0.0031097593164656156,0.00010874732249722583,0.0029889970035224213,0.0031999453044209364,0.9964783827372731,0.00011711565091786755,0.03849304665103981,0.05034423880356806
15,8.0,1,3,0.003206537863914382,0.00032236835072625773,0.0028740276821102436,0.003517703574846184,0.9962317876602368,0.0003511497019483871,0.02309944335498697,0.02449246638751931
25,4.0,1,3,0.0033044611700821526,0.00024067214342497675,0.0030278513832555053,0.0034659684339467933,0.9959922841704651,0.0002850157495219274,0.021453116022012792,0.022440201418065474
10,8.0,1,3,0.003738386668143922,8.057213262661387e-05,0.0036486317366088614,0.0038044751629966495,0.9954246796266991,0.00011058586388866155,0.02277680044006716,0.023578838146881786
15,12.0,1,3,0.005812992167064108,0.00040841901275790496,0.005499707866493726,0.006274914189342584,0.9933315191016273,0.00041835898302451234,0.02792964578302992,0.02955041028974652
10,12.0,1,3,0.0059772256804017385,0.00011273959258425622,0.0058489710974982895,0.006060673613904408,0.9928535977999363,0.00014875787195329457,0.021202661572504857,0.021640211486385137
20,12.0,1,3,0.006067689640311892,0.00040404885007295767,0.005703347298634968,0.0065022424007945105,0.9931462790114564,0.00043151313723820297,0.03234835682977958,0.03437017223083293
25,12.0,1,3,0.0065609626177126935,0.0001331867031073764,0.006428410782834278,0.006694775237672726,0.9927301675608337,0.00015811733340585088,0.0426634843405507,0.051705563075925755
10,16.0,1,3,0.007966341221248974,0.00013135917986085998,0.00781631881345554,0.008060722298754295,0.9905827397755461,0.0001699510014722516,0.018279275264124897,0.01858381833115943
15,16.0,1,3,0.0080585869398323,0.00046844225097930045,0.0077667509855164,0.008598918373060082,0.99086464887902,0.0004687240779848731,0.030493133018086163,0.034588907142609704
20,16.0,1,3,0.008903594650800616,0.00047054539974522184,0.008493481378315331,0.009417306922047624,0.9900683234057843,0.000496802150501503,0.042641977260174206,0.04516157195242354
25,16.0,1,3,0.010294739171856773,0.0002711993834130333,0.010045171117924107,0.010583340003229143,0.9887271426891769,0.0003125260282649927,0.045537281232336906,0.04864815185367676
15,4.0,2,3,0.0034705665712068266,0.0006777773636859907,0.0026986141860277997,0.00396811915461196,0.9955856306381953,0.0008328674268154181,0.03984774561764597,0.04058230735963259
20,4.0,2,3,0.004162223321738963,0.0008380060405491786,0.003322425468823496,0.004998425981876615,0.994817253420333,0.000998355831800116,0.03746432480793169,0.04025311434310011
10,4.0,2,3,0.005052239108046104,7.605384709887854e-05,0.004992327449943785,0.005137801884290152,0.993310347098769,0.00011424579685716889,0.022979276011651728,0.023603340976081688
25,4.0,2,3,0.006727250421909601,0.0004298448423619242,0.006257099640230458,0.007100112859927113,0.9918453143043374,0.0005083157035329353,0.041048821710749535,0.043480283217722154
25,8.0,2,3,0.009223807900219165,0.0001641751453064049,0.009095042538010849,0.009408681616084836,0.9895586456987782,0.00018270827116914198,0.07117395500028356,0.09266317808678431
20,8.0,2,3,0.009794343877000698,0.0009401241347139557,0.008974594696846467,0.010820531577354573,0.9886743111173923,0.0010402067700942114,0.04595983595372627,0.047434637588077484
15,8.0,2,3,0.01145316378886746,0.0011319586192712284,0.010378726193569185,0.012634989603310295,0.9865477345072398,0.001223355855457043,0.04380368198927335,0.04397198243914343
10,8.0,2,3,0.013737688027563477,0.0003152426915696022,0.013381956657261393,0.013982406900561462,0.9831956517218451,0.00042907606716946657,0.04309717412078135,0.04457995948721493
15,12.0,2,3,0.021023114111791696,0.001434787404759251,0.01991285166876553,0.0226431879972825,0.9758932158658365,0.0014649126559632658,0.0604105286437964,0.06647328380301534
20,12.0,2,3,0.0210822909970223,0.0014136644912155552,0.020005182689588865,0.02268307185171539,0.9761960365501855,0.001526306705313334,0.07599571657858545,0.08223208060947045
25,12.0,2,3,0.021618107684792786,0.0005464972935540258,0.02109597506908231,0.022186081862489083,0.9760548769226035,0.0006409520780261625,0.08341664062761907,0.09613018794815581
10,12.0,2,3,0.021856662318365753,0.00041637054212451824,0.021381763714667542,0.02215905710122148,0.9738788372395556,0.0005486536218606518,0.03905971075386374,0.03988127621805074
10,16.0,2,3,0.028796823089584058,0.0004772415082976176,0.028250800937585113,0.029134288136656045,0.965969690759995,0.0006171101563093107,0.03293837107085622,0.033524183426637516
15,16.0,2,3,0.028996131940945618,0.0015855791960614357,0.027933265049182247,0.030818610260089956,0.9671416682564469,0.0015729699037775712,0.06020641426184226,0.06902730429508001
20,16.0,2,3,0.031230633110030746,0.0015695048738247283,0.02996252287557769,0.03298596779717556,0.9651760995711071,0.0016610305299947356,0.0895769075341385,0.0930255541785904
25,16.0,2,3,0.03475363147524522,0.000877256149625631,0.03395863992550866,0.035694790453707034,0.9619569497584054,0.0010138341542991517,0.0948457339072007,0.10035573681790533
20,4.0,5,3,0.00921760932985784,0.001615979760185396,0.007406065476152162,0.010510837363779254,0.9885422658173942,0.0019116079799445674,0.07063358429906252,0.0766477789763743
15,4.0,5,3,0.010828286233799894,0.0021405743528419654,0.008545359564622108,0.01279026338753653,0.9862546534822912,0.0026054919936011264,0.08246237689689062,0.08424021172610016
25,4.0,5,3,0.014056429352488896,0.00087885280743461,0.013266442098368861,0.015003077183631156,0.9829878772603183,0.00104355233544825,0.07467549885500303,0.08090626581899774
10,4.0,5,3,0.021706906650084925,0.000594889302845365,0.021083101651402595,0.02226789502890152,0.9713173560660048,0.0008689979316260872,0.058730070346353073,0.06151455045525737
25,8.0,5,3,0.025327379568065383,0.001554296139000708,0.024304413949608156,0.027115965542783504,0.9713642993385903,0.0018098618443708329,0.1355939146695567,0.1664811148827552
20,8.0,5,3,0.034175738769823924,0.003604778327600365,0.0316041508530309,0.03829607475133288,0.960533810414859,0.0041009732056082005,0.14516723520436495,0.14842796985459697
15,8.0,5,3,0.049298096112102736,0.004453321460146156,0.04504503413593606,0.05392775911779166,0.9421834028185474,0.004780522560912986,0.13140957670901832,0.14086742613519443
10,8.0,5,3,0.06577225293953042,0.0016072660840200361,0.06394419628002851,0.06696369954928319,0.9196771693097769,0.0021684494412500185,0.0899884564801647,0.09291099420423074
25,12.0,5,3,0.06754891586398432,0.003176913702944128,0.06566485960742614,0.07121684378729387,0.9252655657702796,0.003630935282313298,0.17793855477821455,0.1833719803759964
20,12.0,5,3,0.07912927238789404,0.005029166178573412,0.07561174457405526,0.08488963110324414,0.9107670099545063,0.005539715187614977,0.18448349964855973,0.19746855682112976
15,12.0,5,3,0.0920323852648736,0.005245159359353833,0.08726395458964556,0.09765052211926493,0.8946030894500684,0.005271886569537363,0.14227448108110227,0.1610187281258413
