experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,100,301,0.4380157908133919,0.4648628691383707,0.0683297322208843
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,200,201,0.561746909420938,0.25735709873067325,0.01675859957770692
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,1,400,0.0036486317366088614,0.995547138870487,0.023578838146881786
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,2,399,0.013381956657261393,0.9836770512817645,0.04457995948721493
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,5,396,0.06394419628002851,0.9221307963802011,0.09291099420423074
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,10,391,0.15912884017257073,0.8067925754234115,0.13083452285609146
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,20,381,0.23146835914871763,0.7207140609386464,0.16384024318427348
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,50,351,0.32844642488404097,0.6085864566604284,0.0781947856710567
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,100,301,0.41511083740203614,0.49301964637601003,0.07298395196673792
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,200,201,0.5451256645696959,0.2860404169716456,0.020410031197274386
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,1,400,0.00602203232980252,0.992801346587262,0.02075078231371817
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,2,399,0.022029166139208245,0.9736772966571356,0.03823391113431415
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,5,396,0.10198192584445005,0.8782974860766536,0.07326259770593845
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,10,391,0.24272122133860632,0.711052822077965,0.09273906326402324
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,20,381,0.35820433150090875,0.576205006819291,0.11255618706190945
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,50,351,0.4866874765275019,0.43138264741592913,0.04654963856108683
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,100,301,0.5884461938572527,0.2973687378874006,0.03136059616029176
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,200,201,0.7310010126309388,0.06698711669122837,0.015088545548660008
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,1,400,0.006060673613904408,0.9927380150347895,0.02121699091741126
