task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
MountainCar-v0,kahkm_nlms,own_association,0.021258157939609952,0.9682099206902193,0.014285346031859093,0.9776339137014333,0.029793718022253803
MountainCar-v0,kmeans_hard_nlms,own_association,0.33794953878506717,0.6323936775294849,0.3213115191668122,0.6422569512203655,2.220446049250313e-16
MountainCar-v0,kmeans_distance_nlms,own_association,0.06883500450544092,0.9028902023363927,0.06426464536583626,0.9053957418688039,1.1102230246251565e-15
MountainCar-v0,kmeans_rbf_nlms,own_association,0.0008775095836722642,0.9953130305750657,0.0007596741889674371,0.9956538629738849,6.661338147750939e-16
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,nan,nan,4.2030284264727245e-05,0.9999341945961322,4.440892098500626e-16
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,3.4729909273652105e-05,0.9999456245479652,5.551115123125783e-16
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,2.1254300373224283e-05,0.999966722856044,4.440892098500626e-16
