system,method,E1_mean,E1_std,R2_1_mean,R2_1_std,E50_mean,E50_std,R2_50_mean,R2_50_std,E200_mean,E200_std,R2_200_mean,R2_200_std
vanderpol,kahkm_nlms,0.00017863470901561835,4.112689286028459e-09,0.9903634427106809,7.087712286477027e-05,0.00929389877564498,1.725034861166053e-05,0.5122423877261261,0.0026791063065612895,0.02070578089172979,0.00017905378998817894,-0.10800579106581869,0.0006145061293939805
vanderpol,state_dmd,0.00019224809873526446,2.3873358343239393e-05,0.9896283737158661,0.001293417799420935,0.0051284702556086735,3.137570223614872e-05,0.7308535855117096,0.0013971034899298404,0.004558831524359885,1.69507787449014e-05,0.7560318677735571,0.002898525691986449
vanderpol,state_edmd_poly2,0.00018846152145732484,2.3710136750832326e-05,0.9898325637059694,0.00128534460646579,0.005202754448597608,1.2370114274662285e-05,0.7269523607429426,0.0013737927535147642,0.004515639076661376,2.398160225265004e-05,0.7583455541032668,0.0027326601069167515
vanderpol,state_edmd_poly3,4.180724688853893e-10,2.0919565489537043e-10,0.9999999774460676,1.1253904636129777e-08,0.0010667461006711287,6.21498048868436e-05,0.9440004325431478,0.003655846752600351,0.001531661933735388,3.22784667854946e-05,0.9180239900265114,0.002428694435753803
