task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,kahkm_nlms,own_association,0.1570030535882691,0.2022982818270832,0.15595236150869352,0.13094725899863435,0.0029131695091197895
CartPole-v1,kmeans_hard_nlms,own_association,0.5372952279149544,0.4397800098688903,0.6888881438031711,0.24864412908931444,2.220446049250313e-16
CartPole-v1,kmeans_distance_nlms,own_association,0.3313826568847624,0.5690731744176074,0.26528762429163716,0.5395563611359782,0.04789537901672831
CartPole-v1,kmeans_rbf_nlms,own_association,0.044776757477226675,0.31462495109783395,0.04347765930699789,0.18932728556932643,8.881784197001252e-16
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.1622066406121262,0.09609495958332381,1.1102230246251565e-15
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.1670541096081786,0.06908218352027173,1.2212453270876722e-15
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.14405098903670377,0.197268283370454,1.1102230246251565e-15
