task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
CartPole-v1,kahkm_nlms,kahkm_association,1,0.15595236150869354,0.0,0.13094725899863435,0.0,0.0029131695091198753,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,10,0.1514731723380203,0.0,0.1557445808029866,0.0,4.3298697960381105e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,20,0.15464585943126985,0.0,0.1374986835298876,0.0,7.549516567451064e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,5,0.16152440005628968,0.0,0.09999260194423543,0.0,2.886579864025407e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,50,0.15778260881041734,0.0,0.11514390617598735,0.0,1.6209256159527285e-14,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.155947853388781,0.0,0.13097238073407236,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.15147136232238567,0.0,0.155754669160448,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.15464568813630994,0.0,0.13749963888769,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.16152114755203795,0.0,0.10001072476585093,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.15778296224060262,0.0,0.11514192411436752,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,1,0.2652876242916372,0.0,0.5395563611359778,0.0,0.04789537901672839,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,10,0.35700995564628657,0.0,0.3809267171172833,0.0,0.0012825170575644005,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,20,0.42843039408387784,0.0,0.25655435064433707,0.0,1.532107773982716e-14,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,5,0.30677577718808097,0.0,0.46855239593460574,0.0,0.014300583558756692,0.0,1
