n_clusters,omega,n_completed,effective_regimes_min,effective_regimes_max,train_closure_error_mean,train_closure_error_std,train_closure_error_min,train_closure_error_max,test_closure_error_mean,test_closure_error_std,test_closure_error_min,test_closure_error_max,train_association_r2_mean,train_association_r2_std,train_association_r2_min,train_association_r2_max,test_association_r2_mean,test_association_r2_std,test_association_r2_min,test_association_r2_max,raw_predicted_simplex_violation_mean,raw_predicted_simplex_violation_std,raw_predicted_simplex_violation_min,raw_predicted_simplex_violation_max,projected_stochastic_simplex_violation_mean,projected_stochastic_simplex_violation_std,projected_stochastic_simplex_violation_min,projected_stochastic_simplex_violation_max,B_raw_spectral_radius_mean,B_raw_spectral_radius_std,B_raw_spectral_radius_min,B_raw_spectral_radius_max,B_raw_min_entry_mean,B_raw_min_entry_std,B_raw_min_entry_min,B_raw_min_entry_max,B_raw_max_entry_mean,B_raw_max_entry_std,B_raw_max_entry_min,B_raw_max_entry_max,fit_seconds_mean,fit_seconds_std,fit_seconds_min,fit_seconds_max,eval_seconds_mean,eval_seconds_std,eval_seconds_min,eval_seconds_max,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max
15,12.0,3,15,15,0.0002743246096540557,5.967381196632089e-05,0.00023158514965118608,0.0003425021141549169,2.0874886630817746e-05,2.2477300928691032e-05,6.87065323389193e-07,4.509564973592526e-05,0.9986588802711616,0.00026679638206319437,0.9983508265798751,0.9988156460847881,0.9860524344295271,0.013385056481444295,0.9724622606916564,0.9992224817173452,0.00012355114070132457,7.030366757497996e-05,4.4948241369699846e-05,0.00018042512111800322,5.181040781584064e-16,6.409875621278547e-17,4.440892098500626e-16,5.551115123125783e-16,0.9999999999999991,5.324442579404919e-16,0.9999999999999984,0.9999999999999994,-0.030816108821001914,0.0007955825448413916,-0.031712483479968225,-0.03019374933895533,1.0010055980369235,0.0006423105626883909,1.0002649888139972,1.0014103459805213,0.4142136573791504,0.010331998146231296,0.4026219844818115,0.4224538803100586,0.01656333605448405,0.0002586234295372153,0.016353130340576172,0.016852140426635742,0.4308000405629476,0.010073324677478495,0.4194972515106201,0.4388298988342285
15,8.0,3,15,15,0.0004744163249087658,0.00013901650577110707,0.00036082565939939755,0.0006294382294689566,5.9825102137159445e-05,5.4925519462982286e-05,3.601483582662497e-07,0.00010865606436796278,0.9961966083415787,0.0009268330030061134,0.9951453540429542,0.9968959240488874,0.9703397270164089,0.025685603881156028,0.9498972241071661,0.9991708764515098,9.301633902440456e-05,0.00012712001718971565,4.440892098500626e-16,0.0002378630527408235,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999994,9.08756711201214e-16,0.9999999999999984,1.0000000000000002,-0.018594952807811073,0.0008012929934844067,-0.019112758322371415,-0.017671987893631884,1.0009626094909903,0.0014098637239700236,0.9994727580401558,1.0022758420974158,0.41272640228271484,0.007087682156233837,0.404559850692749,0.41727423667907715,0.016528606414794922,0.00019750097757558768,0.01635265350341797,0.016742229461669922,0.4292779763539632,0.00690800317427582,0.4213252067565918,0.4337887763977051
25,12.0,3,25,25,0.0015093434086339847,0.0005859366564326436,0.0010788315375832528,0.0021766130740556496,9.57554933693728e-05,0.00011460275246812408,1.1313592706036034e-06,0.00022318307581879542,0.9944075898777376,0.0017395407646381559,0.9924223958458018,0.995665244554438,0.9775780274897535,0.02098961398674144,0.9570069701180575,0.9989625468626057,0.00020481015293496202,0.00012652667304377264,9.838263640463053e-05,0.00034470658989325107,6.291263806209221e-16,1.695893682875867e-16,4.440892098500626e-16,7.771561172376096e-16,1.0000000000000002,1.1749496091904413e-15,0.9999999999999993,1.0000000000000016,-0.02616865113229459,0.00031185872944537404,-0.02649367727157379,-0.025871883179242036,1.000787595852482,0.0012778731835010092,0.9999866305638089,1.002261298338168,0.4333455562591553,0.0064997908068331256,0.4259157180786133,0.43797993659973145,0.021379788716634113,0.0003060059815855006,0.021180152893066406,0.021732091903686523,0.45475037892659503,0.006191147545896493,0.4476768970489502,0.4591841697692871
15,4.0,3,15,15,0.0009168978935644752,0.0002624868444581272,0.0006830878348917465,0.0012008328180129913,0.00015423500469950895,0.00013374416243143038,1.440262410340273e-07,0.00024019557961353906,0.9850597419247192,0.002292818868962065,0.9826750091787098,0.9872480027014893,0.9619802390799715,0.03245263591822999,0.9376610941105662,0.9988300519241559,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,4.810966440042345e-16,6.409875621278547e-17,4.440892098500626e-16,5.551115123125783e-16,0.9999999999999997,4.2998752849492583e-16,0.9999999999999994,1.0000000000000002,-0.011793515512047936,0.001215104047538214,-0.012958716657343935,-0.01053400463175614,1.0010341465879113,0.0008543539489287013,1.0001088466153236,1.001793082990696,0.45124363899230957,0.05394317870075283,0.41900205612182617,0.5135188102722168,0.016681114832560223,0.00032064509831827826,0.01648712158203125,0.017051219940185547,0.46796409289042157,0.054284610819908756,0.43553924560546875,0.5306339263916016
25,8.0,3,25,25,0.0023525904982619928,0.0009212528717555009,0.0016331071856808437,0.0033909076300198877,0.00019704227499107207,0.00023633017914902787,6.336379221532307e-07,0.00045931880031314953,0.9878680751766211,0.002880655843245418,0.9845958078864994,0.9900212950560018,0.970470488277646,0.02587505202359172,0.948084273595451,0.998800146070208,9.807766726144562e-05,8.629531649058076e-05,9.87912862325356e-06,0.00018233468782205174,7.401486830834377e-16,1.2819751242557095e-16,6.661338147750939e-16,8.881784197001252e-16,1.0,2.1181705310112556e-15,0.9999999999999976,1.0000000000000013,-0.0155331985598229,0.0009735714101422283,-0.016470708951887694,-0.014527184590735829,1.0001679690377963,0.0001079660935973869,1.000102995824173,1.000292599762707,0.42732763290405273,0.008105189158213687,0.4201021194458008,0.43609189987182617,0.021066029866536457,0.0001533986570772437,0.020889997482299805,0.021171092987060547,0.44841965039571124,0.008147564616803677,0.44126391410827637,0.457287073135376
25,4.0,3,25,25,0.00336424276050791,0.0013056119866209118,0.002295101972487121,0.0048193163544860826,0.0003416031882002139,0.0004073048148398377,2.630973187605629e-07,0.0007924739098704874,0.9741656966986806,0.002986130900996559,0.9707691107789325,0.976378169418185,0.9667105716373197,0.028021452051170074,0.9445480266212439,0.9982079645864167,7.031412489292658e-16,1.695893682875867e-16,5.551115123125783e-16,8.881784197001252e-16,5.551115123125783e-16,1.1102230246251565e-16,4.440892098500626e-16,6.661338147750939e-16,1.0000000000000002,1.0934428697813141e-15,0.9999999999999997,1.0000000000000016,-0.012884073991249844,0.005582223310037957,-0.01928986119737973,-0.009060185391853905,0.999949259530064,0.0001562744722817668,0.9998403644115476,1.000128318888761,0.4266979694366455,0.009177495875495208,0.41715407371520996,0.4354588985443115,0.021098931630452473,0.00012641274428818402,0.020982027053833008,0.021233081817626953,0.4478195508321126,0.009246332952211002,0.43825840950012207,0.45671510696411133
35,12.0,3,35,35,0.004045268755800516,0.0005679169468633503,0.003658820834966054,0.004697320747070953,0.0004233015866814134,0.00010298764961374886,0.0003525490907331492,0.0005414547590414059,0.988246418006664,0.0011366309971411878,0.986978306411111,0.9891734751006495,0.9401822400062629,0.01080261612105628,0.9288935107741063,0.9504222503115991,0.0004512592193221025,5.162529378721049e-05,0.0004010433562969791,0.0005041870409152761,9.62193288008469e-16,1.2819751242557095e-16,8.881784197001252e-16,1.1102230246251565e-15,1.0000000000000002,1.2362920382602608e-15,0.9999999999999996,1.0000000000000018,-0.026406355032142365,0.0005657088025723861,-0.02677238433575453,-0.025754785836039913,0.9998301845250058,0.00024378085120734075,0.9996419454307532,1.000105559791936,0.4376913706461589,0.006138307144283351,0.4306809902191162,0.44210195541381836,0.025683879852294922,0.00011521489954128292,0.025616884231567383,0.025816917419433594,0.46339790026346844,0.006182317976789185,0.45631980895996094,0.4677410125732422
35,8.0,3,35,35,0.005712891145114665,0.0007655849319513194,0.005267445055836257,0.006596903554699984,0.0006021995129572825,0.00018995269552671425,0.0004668956985120549,0.0008193562190503446,0.9793044695200521,0.0014846341743270598,0.9775953750860271,0.9802747137260849,0.9323333484664519,0.013806554470095062,0.9180767039946865,0.9456408302438875,0.00028644030720164775,7.514185612690444e-05,0.00020516653700375023,0.0003533874422150484,8.881784197001252e-16,0.0,8.881784197001252e-16,8.881784197001252e-16,0.9999999999999991,1.137640067256873e-15,0.9999999999999979,1.0,-0.01658147370445821,0.0003192201493995537,-0.01681073503087184,-0.016216881170277097,0.9997487371588115,0.0002651812856702859,0.9994763475737981,1.000006068443557,0.43820897738138836,0.003837303815331499,0.4338831901550293,0.44120287895202637,0.025492747624715168,9.746227629170411e-05,0.025393247604370117,0.025588035583496094,0.4637250105539958,0.0038126023495717097,0.45940494537353516,0.46661901473999023
35,4.0,3,35,35,0.007126488103085078,0.0009090965337176866,0.0065523981375958575,0.008174632318033316,0.0007678745896654932,0.0002787477868471915,0.0005476435403137541,0.001081273272395052,0.9662608009916857,0.0016389844214300556,0.9644247201902324,0.9675761767691301,0.9289955029738884,0.01355590676971647,0.915530802607356,0.9426408113791368,9.992007221626409e-16,1.1102230246251565e-16,8.881784197001252e-16,1.1102230246251565e-15,9.251858538542972e-16,6.409875621278546e-17,8.881784197001252e-16,9.992007221626409e-16,0.9999999999999991,1.797052957135242e-15,0.9999999999999976,1.000000000000001,-0.012586374777546726,0.0005816132547581942,-0.012966987362177683,-0.011916876954185647,0.9995070470520137,0.0001744574592849674,0.9993285182230002,0.9996771260568397,0.43613894780476886,0.0022763529887213692,0.4343690872192383,0.4387068748474121,0.025638421376546223,0.0001647005369219314,0.02545309066772461,0.025768041610717773,0.4618016878763835,0.002414877813927203,0.45984601974487305,0.46450090408325195
