experiment,run_index,total_runs,n_steps,dt,data_seed,random_state,train_fraction,n_train,n_test,state_dim,n_clusters,subspace_dim,Nb,omega,tau,beta,nlms_epochs,kmeans_kind,batch_size,n_jobs,status,effective_regimes,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,fit_seconds,eval_seconds,total_seconds,final_nlms_train_error,nlms_history_first,nlms_history_last,nlms_history_monotone_nonincreasing,B_raw_fro_norm,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,B_stochastic_fro_norm,B_stochastic_spectral_radius,B_stochastic_min_entry,B_stochastic_max_entry,B_stochastic_row_sum_min,B_stochastic_row_sum_max
02_duffing_kahkm_sensitivity,1,27,1200,0.03,1,0,0.75,900,300,2,15,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0012008328180129913,0.9826750091787098,0.00022236540824395378,0.9376610941105662,4.440892098500626e-16,4.440892098500626e-16,0.5135188102722168,0.017051219940185547,0.5306339263916016,0.0012008328180129913,0.0012681108280828979,0.0012008328180129913,True,3.8536429186035566,0.9999999999999994,-0.01053400463175614,1.001793082990696,0.9999999999999852,1.0000000000000107,3.840667387906024,0.999999999999998,0.0,0.9983184530076505,0.9999999999999999,1.0000000000000002
02_duffing_kahkm_sensitivity,2,27,1200,0.03,1,1,0.75,900,300,2,15,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0006830878348917465,0.9872480027014893,1.440262410340273e-07,0.9988300519241559,4.440892098500626e-16,5.551115123125783e-16,0.41900205612182617,0.016505002975463867,0.43553924560546875,0.0006830878348917465,0.0007359680280280856,0.0006830878348917465,True,3.858172535967231,0.9999999999999998,-0.011887825247043736,1.0012005101577142,0.9999999999999928,1.0000000000000167,3.8453381765340597,1.0000000000000009,0.0,0.9984907106006496,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,3,27,1200,0.03,1,2,0.75,900,300,2,15,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0008667730277886875,0.9852562138939588,0.00024019557961353906,0.9494495712051926,4.440892098500626e-16,4.440892098500626e-16,0.42121005058288574,0.01648712158203125,0.43771910667419434,0.0008667730277886875,0.000922407424609357,0.0008667730277886875,True,3.858265510131095,1.0000000000000002,-0.012958716657343935,1.0001088466153236,0.9999999999999921,1.0000000000000067,3.846599750226852,0.9999999999999998,0.0,0.9992385418018545,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,4,27,1200,0.03,1,0,0.75,900,300,2,15,4,100,8.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0006294382294689566,0.9951453540429542,0.00010865606436796278,0.9498972241071661,0.0002378630527408235,4.440892098500626e-16,0.404559850692749,0.016742229461669922,0.4213252067565918,0.0006294382294689566,0.000747349431984752,0.0006294382294689566,True,3.856752653052506,0.9999999999999997,-0.01900011220742992,1.0022758420974158,0.9999999999999959,1.0000000000000067,3.8363803932033256,0.9999999999999989,0.0,0.9975846985729082,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,5,27,1200,0.03,1,1,0.75,900,300,2,15,4,100,8.0,1e-06,0.1,20,auto,256,-1,ok,15,0.00036082565939939755,0.9968959240488874,3.601483582662497e-07,0.9991708764515098,4.440892098500626e-16,4.440892098500626e-16,0.41634511947631836,0.01635265350341797,0.4327199459075928,0.00036082565939939755,0.00047394436185269105,0.00036082565939939755,True,3.8594969472395895,0.9999999999999984,-0.017671987893631884,1.0011392283353993,0.9999999999999963,1.0000000000000078,3.8390369603582832,0.9999999999999993,0.0,0.9974915296128061,0.9999999999999999,1.0000000000000002
02_duffing_kahkm_sensitivity,6,27,1200,0.03,1,2,0.75,900,300,2,15,4,100,8.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0004329850858579432,0.9965485469328949,7.045909368524931e-05,0.9619510804905504,4.11859643319461e-05,4.440892098500626e-16,0.41727423667907715,0.016490936279296875,0.4337887763977051,0.0004329850858579432,0.0005396637658181317,0.0004329850858579432,True,3.860081149794427,1.0000000000000002,-0.019112758322371415,0.9994727580401558,0.9999999999999947,1.0000000000000053,3.8416504082177836,1.0000000000000009,0.0,0.9989843747580585,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,7,27,1200,0.03,1,0,0.75,900,300,2,15,4,100,12.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0003425021141549169,0.9983508265798751,4.509564973592526e-05,0.9724622606916564,0.00018042512111800322,5.551115123125783e-16,0.4026219844818115,0.016852140426635742,0.4194972515106201,0.0003425021141549169,0.0005413107523372813,0.0003425021141549169,True,3.854571599038942,0.9999999999999992,-0.03019374933895533,1.0002649888139972,0.9999999999999964,1.0000000000000029,3.8248472896939267,1.0000000000000009,0.0,0.995340140642923,0.9999999999999998,1.0000000000000004
02_duffing_kahkm_sensitivity,8,27,1200,0.03,1,1,0.75,900,300,2,15,4,100,12.0,1e-06,0.1,20,auto,256,-1,ok,15,0.00023158514965118608,0.9988156460847881,6.87065323389193e-07,0.9992224817173452,4.4948241369699846e-05,4.440892098500626e-16,0.41756510734558105,0.016484737396240234,0.43407297134399414,0.00023158514965118608,0.00043679843735039355,0.00023158514965118608,True,3.8556048870711126,0.9999999999999994,-0.031712483479968225,1.0013414593162517,0.9999999999999941,1.0000000000000056,3.825637411399139,0.9999999999999987,0.0,0.9971560262100423,0.9999999999999999,1.0000000000000002
02_duffing_kahkm_sensitivity,9,27,1200,0.03,1,2,0.75,900,300,2,15,4,100,12.0,1e-06,0.1,20,auto,256,-1,ok,15,0.0002488865651560641,0.9988101681488213,1.6841944833138794e-05,0.9864725608795796,0.00014528005961627062,5.551115123125783e-16,0.4224538803100586,0.016353130340576172,0.4388298988342285,0.0002488865651560641,0.000439287249010743,0.0002488865651560641,True,3.8564410978576555,0.9999999999999984,-0.030542093644082186,1.0014103459805213,0.999999999999995,1.000000000000005,3.827766395781154,1.0000000000000009,0.0,0.9983068121629555,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,10,27,1200,0.03,1,0,0.75,900,300,2,25,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,25,0.002295101972487121,0.976378169418185,2.630973187605629e-07,0.9982079645864167,5.551115123125783e-16,4.440892098500626e-16,0.41715407371520996,0.02108168601989746,0.43825840950012207,0.002295101972487121,0.002401863136445166,0.002295101972487121,True,4.978003379979293,0.9999999999999997,-0.009060185391853905,1.000128318888761,0.9999999999999911,1.00000000000001,4.966298844740401,0.9999999999999997,0.0,0.9996031344494394,0.9999999999999998,1.0000000000000004
