n_clusters,omega,n_runs,train_closure_error_mean,train_closure_error_std,test_closure_error_mean,test_closure_error_std,test_closure_error_min,test_closure_error_max,test_association_r2_mean,test_association_r2_std,test_association_r2_min,raw_predicted_simplex_violation_mean,raw_predicted_simplex_violation_max,target_association_variation_mean,target_association_variation_std,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std
10,0.5,3,0.0004270684534396114,7.772445478763771e-05,0.00036577023962109165,5.6581357877828615e-05,0.00032065183762647245,0.00042925250759031665,0.9951877388482089,0.000747690964569474,0.9943661773931654,7.031412489292658e-16,7.771561172376096e-16,nan,nan,nan,nan,nan,nan,nan,nan
15,0.5,3,0.00044918847466657953,1.5061728911461651e-05,0.0004349552857684274,2.5981984675620176e-05,0.00041179241341202257,0.00046304958165761974,0.991694320418822,0.00044359607844132205,0.9911860545812224,7.031412489292658e-16,7.771561172376096e-16,nan,nan,nan,nan,nan,nan,nan,nan
20,0.5,3,0.0005859062853404905,1.660940253796195e-05,0.0005280861765261368,3.0111575626226033e-05,0.0004973941744812876,0.0005575816561450736,0.9886408967269332,0.0006165574240346518,0.988060621866117,9.251858538542972e-16,9.992007221626409e-16,nan,nan,nan,nan,nan,nan,nan,nan
25,0.5,3,0.0007894160684340833,2.9356410644562836e-05,0.0007315803094680291,9.101742320792258e-06,0.0007213960437089638,0.0007389201659706187,0.9837707619971744,0.0010564819430044312,0.9830225397806622,8.881784197001252e-16,8.881784197001252e-16,nan,nan,nan,nan,nan,nan,nan,nan
10,1.0,3,0.0010350142157341277,9.548124307634458e-05,0.0009044893078376249,7.766065099401344e-05,0.0008157912522328375,0.0009602693422344305,0.9964716326112969,0.00031348571693759145,0.9962605052834864,8.141635513917814e-16,8.881784197001252e-16,nan,nan,nan,nan,nan,nan,nan,nan
30,0.5,3,0.0010096835463071314,1.7209957419897822e-05,0.000906533263029025,3.5226657081077304e-05,0.000867216790897205,0.000935223588190968,0.9787464555884188,0.0015096836904104855,0.9776006433597066,9.992007221626409e-16,1.1102230246251565e-15,nan,nan,nan,nan,nan,nan,nan,nan
40,0.5,3,0.0013932808712068176,7.234245644963165e-05,0.0012450517405451342,6.533614532394741e-05,0.001181641075821631,0.0013121566150689616,0.9710263324873117,0.004407511118599634,0.9667156211037127,1.1842378929335002e-15,1.3322676295501878e-15,nan,nan,nan,nan,nan,nan,nan,nan
15,1.0,3,0.0013012833058703489,6.443045006782721e-05,0.0012534281854610079,9.178961892532023e-05,0.00117137793148736,0.001352557968109839,0.9941448376606755,0.0004025964431368703,0.9937373589333873,8.511709855459534e-16,9.992007221626409e-16,nan,nan,nan,nan,nan,nan,nan,nan
15,4.0,3,0.001395129202476175,0.00030440678072818746,0.0013115754647288547,0.00025608083079049776,0.0010162159777226476,0.0014714810814083097,0.9983303909190385,0.00031802689355863145,0.9981181964611551,0.019908845252095336,0.020310183499277962,nan,nan,nan,nan,nan,nan,nan,nan
10,2.0,3,0.0015116298239387113,0.00011491216427354071,0.0013584193740257394,0.00011533602251469795,0.0012553855304926367,0.001483014462193809,0.9976203916379669,0.00020201214530418172,0.99740291641419,0.00025357325370807266,0.0004626148854493513,nan,nan,nan,nan,nan,nan,nan,nan
50,0.5,3,0.0016256321436585008,5.669295712302539e-05,0.0014421092406324482,3.8276436646464846e-05,0.0014123018635802819,0.001485274666672409,0.9697302727271436,0.0034123224689080463,0.9671179737326879,1.4062824978585316e-15,1.5543122344752192e-15,nan,nan,nan,nan,nan,nan,nan,nan
10,4.0,3,0.0016871595577910385,7.706650627306362e-05,0.0016262675928084547,4.1608023322143836e-05,0.0015790230145509775,0.0016574522872245935,0.9978452420474208,5.312898377647923e-05,0.9978112544027599,0.010234820361274691,0.010778424370362085,nan,nan,nan,nan,nan,nan,nan,nan
20,1.0,3,0.001960472584355845,8.606801738415753e-05,0.0017793595304523805,0.00013010489591360388,0.001647306811024522,0.0019074249376241016,0.9912452865897627,0.0005807430857939011,0.9906804873320842,1.0362081563168128e-15,1.3322676295501878e-15,nan,nan,nan,nan,nan,nan,nan,nan
20,6.0,3,0.0020179539938417067,0.00038096429316019005,0.001842992573250654,0.00031657892609000685,0.0015083703664783856,0.0021377524918350667,0.9978202182981525,0.0003581508920298208,0.9974856447797938,0.023820970038708932,0.024706214236245375,nan,nan,nan,nan,nan,nan,nan,nan
