centered_rank,n_clusters,omega,selection_horizons,n_runs,mean_centered_error,mean_multihorizon_r2,centered_error_sd,centered_error_se,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std,inside_centered_one_se_set,selected_by_centered_retvar_rule,centered_best_mean_error,centered_best_standard_error,centered_one_se_limit,retained_variation_rank_within_one_se
1,25,6.0,1 10 50 100 200,3,0.11151195624733601,0.888488043752664,0.005881290242164794,0.0033955645044961634,0.354489274725765,0.003768009210585705,14.261084877525477,0.11340772270033128,0.5942118698968949,0.004725321779180474,1,1,0.11151195624733601,0.0033955645044961634,0.11490752075183217,1
2,30,6.0,1 10 50 100 200,3,0.11352030467960574,0.8864796953203943,0.005172699867892817,0.0029864596611650597,0.3218918718849171,0.002100149679207831,15.582313804978233,0.1867529946954425,0.5373211656889046,0.00643975843777386,1,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217,2
3,20,4.0,1 10 50 100 200,3,0.11353909259502364,0.8864609074049764,0.01083047407674583,0.006252977123660469,0.27198735830540666,0.00476130056330269,10.416597889244649,0.2333039514487348,0.548241994170771,0.012279155339407133,1,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217,3
