horizon,n_clusters,omega,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,n_runs
1,10,0.5,0.00036577023962109165,5.6581357877828615e-05,0.9951877388482089,0.000747690964569474,3
10,15,0.5,0.005445348076812438,0.0004100321320243108,0.8966348901663274,0.007558435032442114,3
50,10,0.5,0.026644856042287817,0.0011077467955121598,0.6648763522982443,0.014715236424600306,3
100,15,0.5,0.03158412161279504,0.000753196703120348,0.396983631151054,0.017226117845659684,3
200,15,0.5,0.031425893890643826,0.0018852083809318893,0.30792551766308995,0.026900105879311454,3
