noise_level,n_clusters,omega,weighted_long_horizon_score,E50,E100,E200
0.0,25,4.0,0.15975751098678082,0.09150367609230273,0.16237682334652953,0.1925747722541455
0.005,25,4.0,0.17373237608091474,0.09138983022819461,0.1816528316059741,0.21094342124474513
0.01,25,4.0,0.18605321392711585,0.09626438426649413,0.18440878125726456,0.23176984509235235
0.02,25,4.0,0.23671123525404075,0.12539422944280532,0.22447597953412166,0.298487366019618
0.05,25,4.0,0.4438974337307806,0.30726562585133205,0.43267780851846244,0.517823150276664
