n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std,fit_seconds_mean
25,4.0,0.0,1,3,0.0033044611701053147,0.00019650798225674513,0.0030278513832501007,0.0034659684340553644,0.9959922841704371,0.0002327143850271509,0.02145311602217119,0.02244020141834297,0.24383988355603212,0.001614918634513435,12.167061287999198,0.04472890243794509,0.5069608869999666,0.0018637042682477162,0.2368936538696289
25,4.0,0.0,10,3,0.02087590985683661,0.0012645583653358918,0.019666053516825745,0.022621385051919532,0.9747998323913655,0.0015062803109916739,0.06890710335360477,0.07771660297903984,0.24383988355603212,0.001614918634513435,12.167061287999198,0.04472890243794509,0.5069608869999666,0.0018637042682477162,0.2368936538696289
25,4.0,0.0,50,3,0.09150367609230273,0.0023433823354772204,0.08958550776707998,0.0948031948005539,0.8915286775605568,0.0027824168014432622,0.0913424161172128,0.0977810445032979,0.24383988355603212,0.001614918634513435,12.167061287999198,0.04472890243794509,0.5069608869999666,0.0018637042682477162,0.2368936538696289
25,4.0,0.0,100,3,0.16237682334652953,0.006805983104002392,0.1560413107294953,0.17181977438728396,0.8035714316127224,0.00810036375659856,0.0670315710358209,0.0717883236509605,0.24383988355603212,0.001614918634513435,12.167061287999198,0.04472890243794509,0.5069608869999666,0.0018637042682477162,0.2368936538696289
25,4.0,0.0,200,3,0.1925747722541455,0.010060190621067241,0.18287934210139514,0.20643970023768707,0.7493965060075457,0.011729897632421523,0.03143050103973435,0.03546375642495572,0.24383988355603212,0.001614918634513435,12.167061287999198,0.04472890243794509,0.5069608869999666,0.0018637042682477162,0.2368936538696289
25,4.0,0.005,1,3,0.0010454096883553527,0.0001340178302407482,0.0008559946793643548,0.001145829811371471,0.9987059736596381,0.00016472877186259153,0.01297807078957074,0.017555793928232588,0.21966838495667823,0.0007107265722962585,11.725396709802242,0.05571667611298849,0.4885581962417601,0.002321528171374528,0.17126893997192383
25,4.0,0.005,10,3,0.017720557746267938,0.0013463402053690394,0.01600568938728533,0.019294488824852282,0.9781822710366569,0.0016301917045492922,0.05018147214661929,0.05834209498500131,0.21966838495667823,0.0007107265722962585,11.725396709802242,0.05571667611298849,0.4885581962417601,0.002321528171374528,0.17126893997192383
25,4.0,0.005,50,3,0.09138983022819461,0.0012225774538044034,0.09009491989452868,0.09302947936127116,0.8897744672115138,0.0015251300675068443,0.06412826468745794,0.06701939559749671,0.21966838495667823,0.0007107265722962585,11.725396709802242,0.05571667611298849,0.4885581962417601,0.002321528171374528,0.17126893997192383
25,4.0,0.005,100,3,0.1816528316059741,0.007237753379046534,0.176427485130279,0.19188780283199783,0.7762704461389054,0.009280355303678956,0.06826428278201611,0.07583557527317669,0.21966838495667823,0.0007107265722962585,11.725396709802242,0.05571667611298849,0.4885581962417601,0.002321528171374528,0.17126893997192383
25,4.0,0.005,200,3,0.21094342124474513,0.029532316338344532,0.1811251407422248,0.2511782238440435,0.7187236163919061,0.039770035677718064,0.037671267139473004,0.05268911524534959,0.21966838495667823,0.0007107265722962585,11.725396709802242,0.05571667611298849,0.4885581962417601,0.002321528171374528,0.17126893997192383
