n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,target_association_variation,target_max_variation_given_mean,target_normalized_association_variation,target_association_effective_rank,target_normalized_association_effective_rank,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
25,4.0,0.0,0,1,400,0.0034659684340553644,0.9957993525494395,0.020255582130879926,0.23051491482114048,0.9511379073027477,0.24235698425146193,12.128195189700797,0.5053414662375332,0.0033701290278922574,0.9959945098480398,0.3907198905944824
25,4.0,0.0,0,10,391,0.022621385051919532,0.9727140183247842,0.07307540205529531,0.23051491482114048,0.9511379073027477,0.24235698425146193,12.128195189700797,0.5053414662375332,0.0033701290278922574,0.9959945098480398,0.3907198905944824
25,4.0,0.0,0,50,351,0.08958550776707998,0.8938466566593485,0.09254142042510798,0.23051491482114048,0.9511379073027477,0.24235698425146193,12.128195189700797,0.5053414662375332,0.0033701290278922574,0.9959945098480398,0.3907198905944824
25,4.0,0.0,0,100,301,0.15926938492280932,0.8073581829960299,0.06081678078776339,0.23051491482114048,0.9511379073027477,0.24235698425146193,12.128195189700797,0.5053414662375332,0.0033701290278922574,0.9959945098480398,0.3907198905944824
25,4.0,0.0,0,200,201,0.18840527442335425,0.7542870430106718,0.026457342179309715,0.23051491482114048,0.9511379073027477,0.24235698425146193,12.128195189700797,0.5053414662375332,0.0033701290278922574,0.9959945098480398,0.3907198905944824
25,4.0,0.0,1,1,400,0.003419563693010479,0.9958578451959869,0.02166356451729067,0.23120147780153683,0.9511446056549412,0.24307710565454516,12.229715649856935,0.5095714854107056,0.0036561986347144943,0.995649819188784,0.1582350730895996
25,4.0,0.0,1,10,391,0.020340291001764557,0.975468099166995,0.05592930502647916,0.23120147780153683,0.9511446056549412,0.24307710565454516,12.229715649856935,0.5095714854107056,0.0036561986347144943,0.995649819188784,0.1582350730895996
25,4.0,0.0,1,50,351,0.0948031948005539,0.8876159642489428,0.0977810445032979,0.23120147780153683,0.9511446056549412,0.24307710565454516,12.229715649856935,0.5095714854107056,0.0036561986347144943,0.995649819188784,0.1582350730895996
25,4.0,0.0,1,100,301,0.17181977438728396,0.7923148713690806,0.0717883236509605,0.23120147780153683,0.9511446056549412,0.24307710565454516,12.229715649856935,0.5095714854107056,0.0036561986347144943,0.995649819188784,0.1582350730895996
25,4.0,0.0,1,200,201,0.20643970023768707,0.7332236108514432,0.03546375642495572,0.23120147780153683,0.9511446056549412,0.24307710565454516,12.229715649856935,0.5095714854107056,0.0036561986347144943,0.995649819188784,0.1582350730895996
25,4.0,0.0,2,1,400,0.0030278513832501007,0.9963196547658847,0.02244020141834297,0.2336926572824319,0.949639859237257,0.24608556076208926,12.143273024439862,0.505969709351661,0.003125766367987612,0.9962816163299625,0.1617259979248047
25,4.0,0.0,2,10,391,0.019666053516825745,0.9762173796823174,0.07771660297903984,0.2336926572824319,0.949639859237257,0.24608556076208926,12.143273024439862,0.505969709351661,0.003125766367987612,0.9962816163299625,0.1617259979248047
25,4.0,0.0,2,50,351,0.09012232570927432,0.8931234117733788,0.08370478342323255,0.2336926572824319,0.949639859237257,0.24608556076208926,12.143273024439862,0.505969709351661,0.003125766367987612,0.9962816163299625,0.1617259979248047
25,4.0,0.0,2,100,301,0.1560413107294953,0.8110412404730567,0.06848960866873881,0.2336926572824319,0.949639859237257,0.24608556076208926,12.143273024439862,0.505969709351661,0.003125766367987612,0.9962816163299625,0.1617259979248047
25,4.0,0.0,2,200,201,0.18287934210139514,0.7606788641605221,0.0323704045149376,0.2336926572824319,0.949639859237257,0.24608556076208926,12.143273024439862,0.505969709351661,0.003125766367987612,0.9962816163299625,0.1617259979248047
25,4.0,0.005,0,1,400,0.0011344045743302326,0.998594580085946,0.017555793928232588,0.20948428593872614,0.9499530800517224,0.22052066605997034,11.72102916476433,0.48837621519851376,0.0022031374589582425,0.9973278291400741,0.16818690299987793
25,4.0,0.005,0,10,391,0.0178614950266662,0.9779917497536816,0.052208752649503705,0.20948428593872614,0.9499530800517224,0.22052066605997034,11.72102916476433,0.48837621519851376,0.0022031374589582425,0.9973278291400741,0.16818690299987793
25,4.0,0.005,0,50,351,0.09104509142878399,0.8900670703791382,0.06231949464594582,0.20948428593872614,0.9499530800517224,0.22052066605997034,11.72102916476433,0.48837621519851376,0.0022031374589582425,0.9973278291400741,0.16818690299987793
25,4.0,0.005,0,100,301,0.19188780283199783,0.7631627559043256,0.07583557527317669,0.20948428593872614,0.9499530800517224,0.22052066605997034,11.72102916476433,0.48837621519851376,0.0022031374589582425,0.9973278291400741,0.16818690299987793
25,4.0,0.005,0,200,201,0.2511782238440435,0.6647624959801512,0.03537203166176666,0.20948428593872614,0.9499530800517224,0.22052066605997034,11.72102916476433,0.48837621519851376,0.0022031374589582425,0.9973278291400741,0.16818690299987793
25,4.0,0.005,1,1,400,0.001145829811371471,0.998584478583736,0.011915360821708595,0.2089011387122339,0.9508313688437403,0.21970366729304314,11.79571428750171,0.49148809531257126,0.002301570767641769,0.9972200427439663,0.18566203117370605
25,4.0,0.005,1,10,391,0.019294488824852282,0.9762877920668079,0.05834209498500131,0.2089011387122339,0.9508313688437403,0.21970366729304314,11.79571428750171,0.49148809531257126,0.002301570767641769,0.9972200427439663,0.18566203117370605
25,4.0,0.005,1,50,351,0.09009491989452868,0.8914787925819908,0.0630459038189313,0.2089011387122339,0.9508313688437403,0.21970366729304314,11.79571428750171,0.49148809531257126,0.002301570767641769,0.9972200427439663,0.18566203117370605
25,4.0,0.005,1,100,301,0.176427485130279,0.783397732080962,0.07318521918477106,0.2089011387122339,0.9508313688437403,0.21970366729304314,11.79571428750171,0.49148809531257126,0.002301570767641769,0.9972200427439663,0.18566203117370605
25,4.0,0.005,1,200,201,0.1811251407422248,0.7594385029242374,0.05268911524534959,0.2089011387122339,0.9508313688437403,0.21970366729304314,11.79571428750171,0.49148809531257126,0.002301570767641769,0.9972200427439663,0.18566203117370605
25,4.0,0.005,2,1,400,0.0008559946793643548,0.9989388623092321,0.009463057618771037,0.20788123082071108,0.9501803191855089,0.21878082151702122,11.659446677140687,0.4858102782141953,0.001824736042553617,0.9977940845058281,0.1599578857421875
25,4.0,0.005,2,10,391,0.01600568938728533,0.9802672712894812,0.03999356880535286,0.20788123082071108,0.9501803191855089,0.21878082151702122,11.659446677140687,0.4858102782141953,0.001824736042553617,0.9977940845058281,0.1599578857421875
25,4.0,0.005,2,50,351,0.09302947936127116,0.8877775386734121,0.06701939559749671,0.20788123082071108,0.9501803191855089,0.21878082151702122,11.659446677140687,0.4858102782141953,0.001824736042553617,0.9977940845058281,0.1599578857421875
25,4.0,0.005,2,100,301,0.1766432068556454,0.7822508504314286,0.055772053888100595,0.20788123082071108,0.9501803191855089,0.21878082151702122,11.659446677140687,0.4858102782141953,0.001824736042553617,0.9977940845058281,0.1599578857421875
25,4.0,0.005,2,200,201,0.2005268991479671,0.7319698502713294,0.024952654511302765,0.20788123082071108,0.9501803191855089,0.21878082151702122,11.659446677140687,0.4858102782141953,0.001824736042553617,0.9977940845058281,0.1599578857421875
25,4.0,0.01,0,1,400,0.0007498079925581464,0.9990668369890745,0.007539206023850057,0.1947456186576726,0.9523776929022658,0.204483599425987,11.54207571082078,0.4809198212841992,0.002407659745343646,0.997056462663296,0.1555030345916748
25,4.0,0.01,0,10,391,0.017987452702024117,0.9777071553909212,0.08400458682081205,0.1947456186576726,0.9523776929022658,0.204483599425987,11.54207571082078,0.4809198212841992,0.002407659745343646,0.997056462663296,0.1555030345916748
25,4.0,0.01,0,50,351,0.10332015516847,0.8742451019267317,0.06898259154810871,0.1947456186576726,0.9523776929022658,0.204483599425987,11.54207571082078,0.4809198212841992,0.002407659745343646,0.997056462663296,0.1555030345916748
25,4.0,0.01,0,100,301,0.19678112107969867,0.7552427520263137,0.06843056013861883,0.1947456186576726,0.9523776929022658,0.204483599425987,11.54207571082078,0.4809198212841992,0.002407659745343646,0.997056462663296,0.1555030345916748
