system,n_train_trajectories,n_train_snapshots,n_clusters,omega,tau,train_closure_error,train_association_r2,fit_seconds
duffing,3,3600,15,12.0,1e-06,9.35878810493574e-05,0.9994190621453526,2.160557985305786
vanderpol,3,3600,20,4.0,1e-06,0.0014846414816175617,0.9981990193081177,2.218809127807617
