task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,kahkm_nlms,own_association,0.1402572836955765,0.25554079592563717,0.1439349810014777,0.15205462643682766,0.008290596716448814
CartPole-v1,kmeans_hard_nlms,own_association,0.7342562608543938,0.14089519203254364,0.801935111121622,0.0325729475838642,2.220446049250313e-16
CartPole-v1,kmeans_distance_nlms,own_association,0.3787582160468296,0.30183845457485114,0.49240665748034346,-0.018142707184225948,0.11732228767143937
CartPole-v1,kmeans_rbf_nlms,own_association,0.05321485022790514,0.39905878728020017,0.052215967564171795,0.2523033795314914,8.881784197001252e-16
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.13212516027720914,0.22162828237562393,4.440892098500626e-16
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.13442460977205467,0.208081835588818,4.440892098500626e-16
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.11854979828812184,0.3016030412076951,4.440892098500626e-16
