task,method,n_clusters,omega,test_error,test_r2,simplex_violation
Acrobot-v1,kahkm_nlms,150,0.5,0.007980661759698348,0.7958735900553853,1.4432899320127035e-15
Acrobot-v1,kahkm_nlms_simplex_project,150,0.5,0.007980661759698348,0.7958735900553853,1.3322676295501878e-15
Acrobot-v1,kmeans_hard_nlms,150,0.5,0.7663185866686612,0.21997853815002488,3.3306690738754696e-16
Acrobot-v1,kmeans_distance_nlms,150,0.5,0.12336441184339257,0.6011209925600456,1.6653345369377348e-15
Acrobot-v1,kmeans_rbf_nlms,150,0.5,0.007942477579346694,0.853557252554632,1.5543122344752192e-15
Acrobot-v1,state_dmd,150,0.5,0.00924768710966926,0.7634660850406435,1.6653345369377348e-15
Acrobot-v1,state_edmd_poly2,150,0.5,0.006113232373317042,0.8436380070855714,1.9984014443252818e-15
Acrobot-v1,state_edmd_poly3,150,0.5,0.003327645043246814,0.9148867278553052,1.9984014443252818e-15
