experiment,seed,n_steps,dt,mu,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,10,391,0.25945016240362717,0.7058328831621583,1.6653345369377348e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,20,381,0.4014886426557629,0.5461424126935297,2.4424906541753444e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,50,351,0.5642072518018076,0.3665704397869074,4.440892098500626e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,100,301,0.649950053603504,0.25659609648313786,5.88418203051333e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,200,201,0.7466417876967522,0.11012702314665868,8.104628079763643e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,1,400,0.005499707866493726,0.9936584267194636,0.02955041028974652
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,2,399,0.01991285166876553,0.9770494643344853,0.06647328380301534
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,5,396,0.08726395458964556,0.8995673893859246,0.1610187281258413
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,10,391,0.17531545059894757,0.7987552273740649,0.23851191497898097
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,20,381,0.22712313775534748,0.7407047834163601,0.16596336850325402
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,50,351,0.33511696602420554,0.6218803509715403,0.16184315349935832
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,100,301,0.39085922562394115,0.551852559395996,0.06097402289596062
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,200,201,0.4798398596814763,0.4147422276168804,0.03197220562614493
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.0059155973771648105,0.9931788751009867,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.020962472838654322,0.9758397245897455,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.08882275492060654,0.8977733567019753,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.18517659354280638,0.7874356120019522,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.2622639328810649,0.7005862812985384,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.38130018912061237,0.5697708313748658,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.43836405180545884,0.49738495348084666,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.5256801706026664,0.35883107785767876,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.005074476233738701,0.9941487505013407,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,2,399,0.018444107754147742,0.9787422635456006,3.3306690738754696e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,5,396,0.08324072724388924,0.9041977459555797,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,10,391,0.17933459696254175,0.7941416454374554,3.3306690738754696e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,20,381,0.2507304819418247,0.7137534499490018,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,50,351,0.36954517690274236,0.5830342633845278,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,100,301,0.4243804384818779,0.5134181442322101,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,200,201,0.5132750817079939,0.37396148969451526,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,1,400,0.0066022152332842615,0.9923871535121304,8.881784197001252e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,2,399,0.02378121523108813,0.9725909860923396,8.881784197001252e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,5,396,0.10651136921315085,0.8774154240377998,1.1102230246251565e-15
