path	supporting_result_ids	suffix	bytes	sha256	row_count	columns	run_key_values_json
kahkm_exp16_mountaincar_tuned_seed0/experiment_16_multistep_results.csv	R14	.csv	5002	ded708e665fb794d98fc31515b50e2940e01ca21a96f8e21e14a19e80f877cb8	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""MountainCar-v0""]}"
kahkm_exp16_mountaincar_tuned_seed1/experiment_16_multistep_results.csv	R14	.csv	5004	6670b91a98491930fd270205a836a84e3cd998d45a45e866f74ffd57d6c8f2e9	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""MountainCar-v0""]}"
kahkm_exp16_mountaincar_tuned_seed2/experiment_16_multistep_results.csv	R14	.csv	4993	99357feb811c7fbc60633fcf776d75564b4310e2c6181a2374b8b41d5c45ea1b	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""MountainCar-v0""]}"
kahkm_exp17_cartpole_tuned_seed0/experiment_17_regime_statistics.csv	R17	.csv	5420	c4b14a04f4b9fd5542df60c99791bd2f622e108461896e8e0d481844e2b531a6	20	task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate	"{""task"":[""CartPole-v1""]}"
kahkm_exp17_mountaincar_tuned_seed0/experiment_17_model_summary.csv	R18	.csv	289	d9a40796c9a0672ab777ceeced8e8e098855baa212a1b0fe0c8e2e811b0723fb	1	task,n_clusters,omega,tau,train_transitions,test_transitions,fit_seconds,train_closure_error,train_r2,mean_empirical_persistence,mean_learned_persistence	"{""n_clusters"":[""100""],""omega"":[""1.0""],""task"":[""MountainCar-v0""]}"
kahkm_exp17_mountaincar_tuned_seed0/experiment_17_regime_statistics.csv	R17,R18	.csv	20162	5ccacbc0b2d2d4b1b2b305fa0ca3df1f5f08cd60cd2cfc351ec65010d18a33e4	100	task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,action_0_rate,action_1_rate,action_2_rate	"{""task"":[""MountainCar-v0""]}"
kahkm_exp18_acrobot_selected_seed0/experiment_18_model_summary.csv	R19,R20	.csv	467	f10a455a1b9ee2cedb3a10fdb00548dccecafcb471bd15e24f149d9901a88047	1	task,state_dim,requested_subspace_dim,effective_subspace_dim,selected_n_clusters,selected_omega,active_regimes,train_transitions,test_transitions,train_closure_error,train_r2,count_weighted_action_purity,mass_in_action_purity_ge_0p9,weighted_terminal_risk_within_25,max_risk_regime,max_risk_regime_count,max_risk_value	"{""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed0/experiment_18_multistep_summary.csv	R16	.csv	4380	1444a54ab3d5575bd4cbf48ebf992ade29700dece221f9369f93ac6173e08d1c	40	method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed0/experiment_18_one_step_results.csv	R16	.csv	856	c722d03ac8bb129a2563cc6af38762308b33e2e0e22c1642b97054aea063832c	8	task,method,n_clusters,omega,test_error,test_r2,simplex_violation	"{""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed0/experiment_18_regime_statistics.csv	R17,R19,R20	.csv	18670	be03eacaa52ee67330ceb2c719fbd49ba858781194c8a701820f36af250f6aa7	150	regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2	{}
