system,system_label,train_count,train_seeds_used,horizon,error_mean,error_std,r2_mean,r2_std,n_test_trajectories
duffing,Duffing,1,0,1,0.00029412373576768737,8.3164000492003511e-05,0.99872698992356279,0.00025541682918727891,3
duffing,Duffing,1,0,10,0.0091874794265732161,0.0016071791747311484,0.9584176170513875,0.0033080162255679744,3
duffing,Duffing,1,0,50,0.048551800486523945,0.0046354625649860735,0.71941267373296969,0.020429980851167862,3
duffing,Duffing,1,0,100,0.052911573094148213,0.0077027977306214027,0.62581059789947291,0.0072583279252488291,3
duffing,Duffing,1,0,200,0.030829576056732751,0.0048316823609885953,0.63736892298525838,0.020154585903694712,3
duffing,Duffing,2,0 1,1,0.0002206776350104226,6.0739445895493809e-05,0.99908318933028051,0.0001900629250979079,3
duffing,Duffing,2,0 1,10,0.0074612834735506032,0.0013131522359970484,0.96794479320088433,0.0028067050703672412,3
duffing,Duffing,2,0 1,50,0.033729857990646185,0.0021601177020679273,0.81891776844895492,0.014693065181504643,3
duffing,Duffing,2,0 1,100,0.035854016521291492,0.0030863369418247738,0.76560299671749854,0.014815150766296921,3
duffing,Duffing,2,0 1,200,0.02810900148994178,0.0052515438509413565,0.69834877156088881,0.0080643150093488471,3
duffing,Duffing,3,0 1 2,1,0.00022780437118376869,9.6454423621487547e-05,0.99904609238298114,0.0003447187060017037,3
duffing,Duffing,3,0 1 2,10,0.0069751027504875258,0.0015899089468617812,0.96963338270993005,0.0041439093691661702,3
duffing,Duffing,3,0 1 2,50,0.031227018465429426,0.002764846511863608,0.83054653202740492,0.01099797381815148,3
duffing,Duffing,3,0 1 2,100,0.031648650967606322,0.003541879946503432,0.78943499036505704,0.0085413706766100488,3
duffing,Duffing,3,0 1 2,200,0.022897682346512325,0.0045043948428118681,0.75290409561755622,0.0060203021183974602,3
duffing,Duffing,5,0 1 2 3 4,1,6.6281492682256508e-05,1.0325539056443062e-05,0.99971716598982041,1.3341624247638842e-05,3
duffing,Duffing,5,0 1 2 3 4,10,0.0041723011396837045,0.00096376919008099376,0.9817815369073345,0.0011792448331976691,3
duffing,Duffing,5,0 1 2 3 4,50,0.022422054235933995,0.0059220998317031093,0.87810939659195419,0.0096647131989257614,3
duffing,Duffing,5,0 1 2 3 4,100,0.021282576454190849,0.0060350632413662519,0.85997555787107827,0.014329481713105165,3
duffing,Duffing,5,0 1 2 3 4,200,0.017073951338831956,0.0039535331495777724,0.80854788294411473,0.0038957083310954136,3
vanderpol,Van der Pol,1,0,1,0.0019353641521675359,5.4204434716470684e-05,0.99764420711544843,6.2725812888308498e-05,3
vanderpol,Van der Pol,1,0,10,0.016472351276351143,0.0010569430406924885,0.97996757787161271,0.0012530181742430604,3
vanderpol,Van der Pol,1,0,50,0.082028247830606929,0.0020150730496422214,0.90094055951914209,0.0022958564162598059,3
vanderpol,Van der Pol,1,0,100,0.17683875557723974,0.0010487527883493383,0.78745222746875665,0.0012048203657386701,3
vanderpol,Van der Pol,1,0,200,0.18203555366821053,0.0021694452955734332,0.77926756665478314,0.0020853736959612636,3
vanderpol,Van der Pol,2,0 1,1,0.0017459381150336248,4.887027725037706e-05,0.99786171883659025,6.1808883198532906e-05,3
vanderpol,Van der Pol,2,0 1,10,0.015432089472087874,0.0012809919797774833,0.9811253727778485,0.0015279760952810295,3
vanderpol,Van der Pol,2,0 1,50,0.08626457241302056,0.001921793208507447,0.89540385763043739,0.0021346624946771168,3
vanderpol,Van der Pol,2,0 1,100,0.19214410575323804,0.00054829694770154526,0.76841904587557153,0.00052447645140512862,3
vanderpol,Van der Pol,2,0 1,200,0.17333245329817557,0.0027503221756625638,0.78834154533541356,0.0028115480133428222,3
vanderpol,Van der Pol,3,0 1 2,1,0.0016147959031927331,4.3196962936761251e-05,0.99803358713058454,4.9451234239459377e-05,3
vanderpol,Van der Pol,3,0 1 2,10,0.012106261452586286,0.0012179709772268768,0.98527215414565295,0.0014591261881258314,3
vanderpol,Van der Pol,3,0 1 2,50,0.071056825283752845,0.0023676180418989432,0.914183706202361,0.0027423979976774725,3
vanderpol,Van der Pol,3,0 1 2,100,0.16375244493632723,0.00072494695464056784,0.80324756813089548,0.00089924119265783668,3
vanderpol,Van der Pol,3,0 1 2,200,0.16221708820433353,0.0015273315930242814,0.80330134601406533,0.0013715486915346375,3
vanderpol,Van der Pol,5,0 1 2 3 4,1,0.0016707989400929415,4.5793368648736565e-05,0.99795322385335083,5.1885593696082634e-05,3
vanderpol,Van der Pol,5,0 1 2 3 4,10,0.011452206653171084,0.00032336623014939803,0.98598716759151028,0.00037969797736116858,3
vanderpol,Van der Pol,5,0 1 2 3 4,50,0.068902596918125072,0.0016051947642052274,0.91641392159756574,0.0018425360700340379,3
vanderpol,Van der Pol,5,0 1 2 3 4,100,0.17682620919604966,0.0018943372170781129,0.78693075165509807,0.0022224659887284839,3
vanderpol,Van der Pol,5,0 1 2 3 4,200,0.18080456172653322,0.0027191800051304289,0.77975510226758027,0.002796429869498978,3
