task,selection_metric,selection_horizon,n_clusters,omega,selected_error,selected_r2
CartPole-v1,kahkm_multistep_relative_error,50,100,2.0,0.13677091917374537,0.09722395975315179
MountainCar-v0,kahkm_multistep_relative_error,50,100,2.0,0.3942104724045233,-1.1867522880660912
