task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,15,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.1549030750093746,0.13084527832791004,5.551115123125783e-16
CartPole-v1,15,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.18267817679918263,-0.024074556885381515,4.440892098500626e-16
CartPole-v1,15,4.0,kahkm_nlms,kahkm_association,1,0.26987901857102453,0.28656571278059506,0.04677422591583273
CartPole-v1,15,4.0,kahkm_nlms,kahkm_association,10,0.32763578126331566,0.1342232059842564,0.020445523300902504
CartPole-v1,15,4.0,kahkm_nlms,kahkm_association,20,0.37523916032780175,0.011467357937311351,0.0154545620274122
CartPole-v1,15,4.0,kahkm_nlms,kahkm_association,5,0.3050554437459559,0.19334195128310916,0.02727370148001533
CartPole-v1,15,4.0,kahkm_nlms,kahkm_association,50,0.4144737873291699,-0.08579862741557154,0.003995334253747166
CartPole-v1,15,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.2613784671317074,0.3090372071901728,4.440892098500626e-16
CartPole-v1,15,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.3280182585027267,0.1332125107639588,4.440892098500626e-16
CartPole-v1,15,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.3763886449448235,0.008439147703384164,4.440892098500626e-16
CartPole-v1,15,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.3040395611872908,0.19602824932924634,4.440892098500626e-16
CartPole-v1,15,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.41521236670306355,-0.0877334867358166,4.440892098500626e-16
CartPole-v1,15,8.0,kahkm_nlms,kahkm_association,1,0.4367977474685893,0.2776688655782311,0.3352481361127201
CartPole-v1,15,8.0,kahkm_nlms,kahkm_association,10,0.5230655771489162,0.13588715643607874,0.08755696914068578
CartPole-v1,15,8.0,kahkm_nlms,kahkm_association,20,0.6227047398301622,-0.023562525601297457,0.025937385037285113
CartPole-v1,15,8.0,kahkm_nlms,kahkm_association,5,0.49251978358727205,0.1854360602716396,0.22252971214883824
CartPole-v1,15,8.0,kahkm_nlms,kahkm_association,50,0.7341900084024309,-0.19104372547017223,0.03414412804869246
CartPole-v1,15,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.3967391695541817,0.3439136166007112,4.440892098500626e-16
CartPole-v1,15,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.5323286761249401,0.12058436621995416,6.661338147750939e-16
CartPole-v1,15,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.631098079583978,-0.03735896472746947,4.440892098500626e-16
CartPole-v1,15,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.48784427739806413,0.19316874202092138,6.661338147750939e-16
CartPole-v1,15,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.7314328655406818,-0.18657093550009773,4.440892098500626e-16
CartPole-v1,15,12.0,kahkm_nlms,kahkm_association,1,0.5559022120802478,0.20747429766015824,0.44451610017183196
CartPole-v1,15,12.0,kahkm_nlms,kahkm_association,10,0.6968095244903374,0.007918546898765588,0.17761883074643312
CartPole-v1,15,12.0,kahkm_nlms,kahkm_association,20,0.8122369002955513,-0.1509287687212406,0.1024967692973791
CartPole-v1,15,12.0,kahkm_nlms,kahkm_association,5,0.6570336371261623,0.06351887181152116,0.37125210841240885
CartPole-v1,15,12.0,kahkm_nlms,kahkm_association,50,0.9504996004790889,-0.328997952748854,0.03782851293635799
CartPole-v1,15,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.5076906607918551,0.2762074178302415,4.440892098500626e-16
CartPole-v1,15,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.7360485618990905,-0.04794797025201891,6.661338147750939e-16
CartPole-v1,15,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.8368633975998839,-0.18582418434453873,4.440892098500626e-16
CartPole-v1,15,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.6707162472387174,0.04401681677090785,5.551115123125783e-16
CartPole-v1,15,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.9354514735092283,-0.30795751262076854,5.551115123125783e-16
CartPole-v1,20,2.0,kahkm_nlms,kahkm_association,1,0.14336540753022628,0.2743448125320883,0.005328043143690463
CartPole-v1,20,2.0,kahkm_nlms,kahkm_association,10,0.17243798834723928,0.12643400172049968,2.886579864025407e-15
