task,C,omega,E1,R2_1,E50,R2_50,mean_E_1_50,E1_mean,E1_std,R2_1_mean,R2_1_std,E50_mean,E50_std,R2_50_mean,R2_50_std,mean_E_1_50_mean,mean_E_1_50_std
CartPole-v1,20,1,0.0716±0.0061,-0.133±0.189,0.0768±0.0115,-0.235±0.146,0.0741±0.0082,0.071564564260137145,0.0061332907449395645,-0.13322412262873159,0.18869401458068097,0.076774879243951752,0.011457032655050658,-0.23516721946063202,0.14587290334442307,0.074051780685617727,0.0081921363964543338
MountainCar-v0,100,1,0.00386±0.00058,0.937±0.006,0.1305±0.0047,-1.111±0.079,0.0641±0.0043,0.003859478808666909,0.00057737966989587829,0.93669925260846121,0.0061893322609069198,0.13053749584844901,0.004722595964720488,-1.1110308506286053,0.078946102629403894,0.064086888874904366,0.0043389820152420671
