training_noise,noise_level,R2_50_mean,R2_50_std,R2_100_mean,R2_100_std,R2_200_mean,R2_200_std,weighted_centered_score,R2_50_table_cell,R2_100_table_cell,R2_200_table_cell,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std,rho_var_mean,rho_var_std,effective_rank_mean,effective_rank_std,rho_rank_mean,rho_rank_std
0%,0,0.89152867756055676,0.0027824168014432622,0.80357143161272238,0.0081003637565985592,0.7493965060075457,0.011729897632421523,0.20152671970290736,$0.8915\pm0.0028$,$0.8036\pm0.0081$,$0.7494\pm0.0117$,0.091503676092302727,0.0023433823354772204,0.16237682334652953,0.0068059831040023916,0.19257477225414549,0.010060190621067241,0.24383988355603212,0.001614918634513435,12.167061287999198,0.044728902437945091,0.50696088699996655,0.0018637042682477162
0.5%,0.0050000000000000001,0.88977446721151376,0.0015251300675068443,0.77627044613890539,0.0092803553036789558,0.71872361639190607,0.039770035677718064,0.22412696346644218,$0.8898\pm0.0015$,$0.7763\pm0.0093$,$0.7187\pm0.0398$,0.091389830228194607,0.0012225774538044034,0.18165283160597409,0.0072377533790465342,0.21094342124474513,0.029532316338344532,0.21966838495667823,0.00071072657229625852,11.725396709802242,0.055716676112988493,0.48855819624176011,0.0023215281713745281
1%,0.01,0.88286494485689326,0.010309722711279666,0.77103462146030244,0.014985980571571836,0.68884218410689235,0.030881096064889063,0.2421040163672549,$0.8829\pm0.0103$,$0.7710\pm0.0150$,$0.6888\pm0.0309$,0.096264384266494127,0.0085031737585267407,0.18440878125726456,0.011871252076637976,0.23176984509235235,0.022961258735658675,0.20737082943393881,0.0027215792241504964,11.441530453685401,0.081550009091519479,0.47673043557022504,0.0033979170454799708
2%,0.02,0.84662460226890268,0.019339179394598185,0.71954249045621665,0.022444008237646012,0.59564687185618526,0.062184274108543762,0.31063479089062751,$0.8466\pm0.0193$,$0.7195\pm0.0224$,$0.5956\pm0.0622$,0.12539422944280532,0.015740456626941863,0.22447597953412166,0.017817431759548946,0.29848736601961801,0.044338491298537175,0.19805752971323587,0.0016293459305000732,11.302451281403048,0.084177137413811345,0.47093547005846031,0.0035073807255754661
5%,0.050000000000000003,0.62460987079038188,0.047783135909666014,0.4607851250766275,0.045390126553192058,0.29761212726127484,0.03888789321759481,0.57984518740261026,$0.6246\pm0.0478$,$0.4608\pm0.0454$,$0.2976\pm0.0389$,0.30726562585133205,0.040272968408230705,0.43267780851846244,0.037273075329005992,0.51782315027666403,0.035504179032331259,0.20709981891978199,0.0056565478612820618,10.48053383976214,0.37798966559919456,0.43668890999008919,0.015749569399966436
