task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,kahkm_nlms,own_association,0.06203282213985553,0.19536579435864732,0.07354450013940786,-0.07038584565893435,8.881784197001252e-16
CartPole-v1,kmeans_hard_nlms,own_association,0.572779680362122,0.3615756084227282,0.6753027651497436,0.08569150961185212,1.1102230246251565e-16
CartPole-v1,kmeans_distance_nlms,own_association,0.3325282601726022,0.4971694544331855,0.38025287707013616,0.24240383104461927,0.09352359136966532
CartPole-v1,kmeans_rbf_nlms,own_association,0.04980696809190982,0.3679053317846198,0.05284235643656884,0.03281599469218566,7.771561172376096e-16
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.058053591001566394,0.1550728881159017,6.661338147750939e-16
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.06753510515271297,0.017076457063078143,7.771561172376096e-16
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.05284935010161312,0.23081676816335606,5.551115123125783e-16
