task,C,omega,active,train_error,train_R2,action_purity,learned_persistence,max_terminal_risk,train_error_raw,train_R2_raw,action_purity_raw,learned_persistence_raw,max_terminal_risk_raw
CartPole-v1,20,1,17/20,0.0610,0.1981,0.792,0.764,0.000,0.060973415650763953,0.19807136747797893,0.79200000000000004,0.76365113006984175,0
MountainCar-v0,100,1,94/100,0.00347,0.9397,0.883,0.999,0.800,0.0034740032176674108,0.93970014340922137,0.88314176245210729,0.99949558873872646,0.80000000000000004
