rank_ref,C,omega,n_runs,mean_Eh_mean,mean_Eh_std,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std,E1_mean_audit,E1_std_audit,E10_mean_audit,E10_std_audit,mean_Eh_formatted,E50_formatted,E100_formatted,E200_formatted
1,10,2,3,1.187681239629641e-05,2.115640972019282e-06,1.016220932256724e-05,1.63897386194331e-06,1.76446193702004e-05,4.569372498643419e-06,3.071539741034544e-05,4.113917414124821e-06,9.417427603848754e-09,3.007958236780279e-09,8.524184507651042e-07,2.529331271480788e-07,(1.19 +/- 0.21) x 10^-5,(1.02 +/- 0.16) x 10^-5,(1.76 +/- 0.46) x 10^-5,(3.07 +/- 0.41) x 10^-5
2,12,2,3,1.837462218704884e-05,6.093019546855437e-06,1.539350569622086e-05,4.20185519914939e-06,2.554468291003688e-05,7.98170989514522e-06,4.984115354214687e-05,1.794019058983373e-05,1.164118152864426e-08,3.721930965159529e-09,1.082127605310959e-06,3.376201191836865e-07,(1.84 +/- 0.61) x 10^-5,(1.54 +/- 0.42) x 10^-5,(2.55 +/- 0.80) x 10^-5,(4.98 +/- 1.79) x 10^-5
3,8,6,3,2.181580696671305e-05,8.297360886750798e-06,2.57574501498254e-05,1.073926299332365e-05,3.502065035686567e-05,1.20532246770694e-05,4.513386196921243e-05,1.762345586281089e-05,7.38782957914146e-08,6.280906158040591e-08,3.093194061870324e-06,1.008051838969637e-06,(2.18 +/- 0.83) x 10^-5,(2.58 +/- 1.07) x 10^-5,(3.50 +/- 1.21) x 10^-5,(4.51 +/- 1.76) x 10^-5
4,8,8,3,2.336859738861466e-05,1.051260775265116e-05,3.199489067145666e-05,1.552170312474543e-05,3.529982006203162e-05,1.215350645731723e-05,4.54434229739015e-05,2.404515453098955e-05,5.03373046979912e-08,7.874108516471596e-09,4.054515930985543e-06,8.348005416871283e-07,(2.34 +/- 1.05) x 10^-5,(3.20 +/- 1.55) x 10^-5,(3.53 +/- 1.22) x 10^-5,(4.54 +/- 2.40) x 10^-5
5,10,4,3,2.404842804928986e-05,7.373251220456139e-06,2.626253583311574e-05,5.333856849310404e-06,3.410139403167019e-05,3.17073923971681e-06,5.727809744105996e-05,2.72234549516582e-05,2.961679175383413e-08,1.371129031472056e-08,2.570496148849553e-06,1.124493771280562e-06,(2.40 +/- 0.74) x 10^-5,(2.63 +/- 0.53) x 10^-5,(3.41 +/- 0.32) x 10^-5,(5.73 +/- 2.72) x 10^-5
default,15,12,3,0.0002594662358712466,0.000155529149638194,0.0002596568555464949,0.0001583908570758695,0.0003127903194713489,0.0001792052117738423,0.0007003932375236793,0.0004233922639081533,2.716776243107985e-07,1.904193543216642e-07,2.421908919039896e-05,1.646699607878338e-05,(2.59 +/- 1.56) x 10^-4,(2.60 +/- 1.58) x 10^-4,(3.13 +/- 1.79) x 10^-4,(7.00 +/- 4.23) x 10^-4
