rank,C,omega,n_runs,mean_Eh_mean,mean_Eh_std,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std,E1_mean_audit,E1_std_audit,E10_mean_audit,E10_std_audit,mean_Eh_formatted,E50_formatted,E100_formatted,E200_formatted
1,15,0.5,3,0.01931177773024743,0.000924349733402338,0.02766856978521742,0.001547329466259522,0.03158412161279504,0.000753196703120348,0.03142589389064383,0.001885208380931889,0.0004349552857684274,2.598198467562018e-05,0.005445348076812438,0.0004100321320243108,(1.93 +/- 0.09) x 10^-2,(2.77 +/- 0.15) x 10^-2,(3.16 +/- 0.08) x 10^-2,(3.14 +/- 0.19) x 10^-2
2,10,0.5,3,0.02374544733638605,0.002537975990688147,0.02664485604228782,0.00110774679551216,0.0390638677585859,0.003544753641017113,0.04695753357131337,0.00738730679390897,0.0003657702396210916,5.658135787782861e-05,0.005695209070122092,0.0005934913651246673,(2.37 +/- 0.25) x 10^-2,(2.66 +/- 0.11) x 10^-2,(3.91 +/- 0.35) x 10^-2,(4.70 +/- 0.74) x 10^-2
3,20,0.5,3,0.03028575939393235,0.0008861309754442767,0.04159687486332369,0.001879577841523821,0.05125878610400422,0.001151947042300905,0.05060667360204563,0.0009952310630897804,0.0005280861765261368,3.011157562622603e-05,0.007438376223762068,0.0003737873546806512,(3.03 +/- 0.09) x 10^-2,(4.16 +/- 0.19) x 10^-2,(5.13 +/- 0.12) x 10^-2,(5.06 +/- 0.10) x 10^-2
4,10,1,3,0.03469031988168453,0.003970206638589881,0.04270704600943687,0.002906800056284786,0.0562488264393959,0.007237458090588256,0.06193798166232151,0.008831853642009382,0.0009044893078376249,7.766065099401344e-05,0.01165325598943073,0.0007972607530729664,(3.47 +/- 0.40) x 10^-2,(4.27 +/- 0.29) x 10^-2,(5.62 +/- 0.72) x 10^-2,(6.19 +/- 0.88) x 10^-2
5,15,1,3,0.03854043972600726,0.002775168489869537,0.0468527547446626,0.002558408518305863,0.06385421312853913,0.003801698708705033,0.06874664695909125,0.005938562779675637,0.001253428185461008,9.178961892532023e-05,0.01199515561228229,0.00148538282373583,(3.85 +/- 0.28) x 10^-2,(4.69 +/- 0.26) x 10^-2,(6.39 +/- 0.38) x 10^-2,(6.87 +/- 0.59) x 10^-2
