statistic,value,mean,std,n,seed_values
Active regimes,116.0±14.4 out of 150,116,14.445299120013633,3,132;119;97
Train closure error,0.0109±0.0006,0.010914279300767224,0.00061641228768178301,3,0.010069673050070961;0.011523468416952643;0.011149696435278068
Train association $R^2$,0.7479±0.0209,0.74793954739190527,0.02089965358495157,3,0.77344652056729668;0.72225396818434073;0.74811815342407839
Count-weighted action purity,0.8805±0.0179,0.88047857480041669,0.017852845111005777,3,0.90268767377201209;0.85897435897435814;0.87977369165487995
Mass in regimes with action purity $\ge 0.9$,0.5852±0.0562,0.5852473252091529,0.056168399768796361,3,0.66450417052826749;0.54102564102564088;0.55021216407355034
Weighted terminal risk within 25 steps,0.1884±0.0321,0.18840964991507744,0.032119586465488105,3,0.14457831325301196;0.1999999999999999;0.22065063649222039
Terminal risk of highest-risk supported regime,1.0000±0.0000,1,0,3,1;1;1
Support of highest-risk supported regime,4.0±2.4,4,2.4494897427831779,3,7;1;4
