system,operator,num_regimes,subsample_size,num_valid_modes,legacy_ambient_spectral_radius,legacy_max_abs_imag_lambda,legacy_min_rkhs_residual,legacy_median_rkhs_residual,legacy_mean_rkhs_residual,legacy_q25_rkhs_residual,legacy_q75_rkhs_residual,legacy_max_rkhs_residual,legacy_median_representation_error_unsquared,legacy_max_representation_error_unsquared,legacy_median_matrix_formula_residual,legacy_modes_with_residual_le_0.001,legacy_modes_with_residual_le_0.01,legacy_modes_with_residual_le_0.05,legacy_modes_with_residual_le_0.1,n_clusters,omega,tau,wall_seconds_so_far_system,train_closure_error,test_closure_error,test_association_r2,test_simplex_violation
duffing,nlms,10,800,10,1.0000000000000007,0.03199518965330206,0.0052475279339441365,0.22986429721468193,0.23370608513233418,0.06523974765259782,0.28046440708547904,0.763932734138981,6.839001090569057e-06,2.140254408343193e-05,0.22986429721467377,0,1,3,3,10,2.0,1e-06,1.4304001331329346,0.00013795435795396245,0.00025025514392919295,0.9835266167215357,6.661338147750939e-16
duffing,ridge_ls,10,800,10,1.0000000000122957,0.06490801740144436,0.0009754599680155163,0.023026081995633545,0.03232256613589908,0.009011433581465224,0.04348557287756044,0.10593597087921032,1.4731297708990487e-06,1.912387590274808e-06,0.023026081995638346,1,3,8,9,10,2.0,1e-06,3.30947208404541,0.00013179553738197356,0.00024067071254530502,0.9841575248787626,2.012737421175359e-09
vanderpol,nlms,25,800,25,0.9999999999999999,0.2500102054333232,0.004352505812127228,0.013032340705223128,0.026961419968884588,0.005367656266583109,0.026639471708504073,0.12486533421172422,6.154603310522749e-09,1.1469174452271248e-07,0.013032340705223655,0,11,21,23,25,4.0,1e-06,1.2926430702209473,0.0026969765053955273,0.003053580424033925,0.9963465429113917,0.022957758772452368
vanderpol,ridge_ls,25,800,25,0.9999999999290696,0.25814339292373356,0.004371201837105576,0.009945929815126707,0.01851089516748503,0.00551156988923493,0.029859268004844775,0.06750499358514375,4.376627315079372e-09,1.0646079324809226e-07,0.009945929815126956,0,13,23,25,25,4.0,1e-06,1.6327481269836426,0.0026676936004047308,0.0030333250432858167,0.9963707774669299,0.022152179289514858
