system,operator,ambient_num_regimes,effective_feature_rank,rank_rtol,rank_threshold,sigma_max,sigma_min_retained,subsample_size,num_valid_r3_modes,spectral_radius,reduced_spectral_radius,max_abs_imag_lambda,min_r3_residual_rho,median_r3_residual_rho,mean_r3_residual_rho,q25_r3_residual_rho,q75_r3_residual_rho,max_r3_residual_rho,median_representation_defect_eta,max_representation_defect_eta,median_r3_matrix_formula_rho,max_r3_feature_matrix_formula_abs_diff,median_legacy_source_residual_reduced_candidate,modes_with_r3_rho_le_0.001,modes_with_r3_rho_le_0.01,modes_with_r3_rho_le_0.05,modes_with_r3_rho_le_0.1,n_clusters,omega,tau,state_dim,requested_subspace_dim,effective_subspace_dim,train_snapshots,test_snapshots,fit_train_closure_error,fit_train_association_r2,wall_seconds_so_far_system,train_closure_error,test_closure_error,test_association_r2,test_simplex_violation
duffing,nlms,10,10,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,800,10,1.0000000000000007,1.0000000000000007,0.03199518965330228,2.752743554385469e-05,0.05875483264615074,0.07615100844469072,0.011926870463405416,0.06578864322607553,0.3725090747500327,6.063387682557589e-11,4.580688926500327e-10,0.058754832646148725,2.65898414397725e-14,0.22986429721446794,3,3,4,9,10,2.0,1e-06,2,4,2,3600,2400,0.00013795435795396245,0.9848010255768439,1.3696911334991455,0.00013795435795396245,0.00025025514392919295,0.9835266167215357,6.661338147750939e-16
duffing,ridge_ls,10,10,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,800,10,1.000000000012294,1.000000000012294,0.06490801740144284,9.51714256235137e-07,0.0006439769328586149,0.0025256705789158482,8.855890718030867e-05,0.002011945956594699,0.01593645241218532,2.177884157180796e-12,3.657226293616106e-12,0.0006439769328584443,7.598088824778415e-16,0.023026081995635862,5,9,10,10,10,2.0,1e-06,2,4,2,3600,2400,0.00013795435795396245,0.9848010255768439,3.2500321865081787,0.00013179553738197356,0.00024067071254530502,0.9841575248787626,2.012737421175359e-09
vanderpol,nlms,25,25,1e-10,1.3714175150158078e-09,13.714175150158079,0.4515379839564273,800,25,1.0000000000000002,1.0000000000000002,0.2500102054333233,1.8935402655546158e-05,0.00017453244167975823,0.002456015656964997,2.8888480578732217e-05,0.0007612818945103574,0.02182962589964306,3.787914223390425e-17,1.3154196199549188e-14,0.00017453244167970795,2.634611279139776e-16,0.013032340705221456,19,23,25,25,25,4.0,1e-06,2,4,2,3600,2400,0.0026969765053955273,0.9967894134204642,1.1562349796295166,0.0026969765053955273,0.003053580424033925,0.9963465429113917,0.022957758772452368
vanderpol,ridge_ls,25,25,1e-10,1.3714175150158078e-09,13.714175150158079,0.4515379839564273,800,25,0.999999999929069,0.999999999929069,0.2581433929237342,1.909601989025243e-05,0.00010107840261385427,0.0008529460694780844,3.0462678193873087e-05,0.0009627854346760642,0.006659376597850688,1.9154866941937482e-17,1.1333900491633094e-14,0.00010107840261381391,3.5128150388530344e-16,0.009945929815126184,19,25,25,25,25,4.0,1e-06,2,4,2,3600,2400,0.0026969765053955273,0.9967894134204642,1.4913270473480225,0.0026676936004047308,0.0030333250432858167,0.9963707774669299,0.022152179289514858
