config_name,n_clusters,omega,n_train_trajectories,E1_mean,E1_std,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std
clean_tuned,15,0.5,1,0.00045685960979736364,2.9308855150042847e-05,0.03312712556692925,0.0015126207591986917,0.04351189001263401,0.0020934022658766573,0.056213708069146356,0.00318449312973805
clean_tuned,15,0.5,2,0.0004391507939038841,2.3000476331099506e-05,0.021331772163037836,0.0004048416477249399,0.02959354580299485,0.00044400721396664925,0.02815724992014995,0.00019439892368394246
clean_tuned,15,0.5,3,0.0004477000114721589,5.79316170673063e-05,0.017563460573836412,8.185047282821584e-05,0.02529599789939219,0.0011275623437883714,0.029012119186064486,0.00013644785502318915
clean_tuned,15,0.5,5,0.00034550113822875387,3.1753801203822606e-05,0.013367429872271713,0.00035649884950626905,0.020708628066221434,0.0007334978771919286,0.02185022104814872,0.0025572195787844395
clean_tuned,15,0.5,8,0.00038683269696012686,2.223994095225676e-05,0.010623884354872654,0.00027975804450310743,0.016718703549327595,0.0005787434685353498,0.018747293451158314,0.0010889926984490688
old_default,20,4.0,1,0.0024205411827615867,0.0007249079012383502,0.09259852700544903,0.007238338613254357,0.19439397617650397,0.006061945087046309,0.18701846662861407,0.012959673474360013
old_default,20,4.0,2,0.0021421831222604524,0.0004993059695576012,0.08204466882204296,0.01047420019600663,0.18516369646577374,0.016326533602594527,0.17391993049834678,0.012847522108408602
old_default,20,4.0,3,0.0017949061963241158,0.0001565319152202127,0.07472678192726749,0.004147459355749239,0.17350578444762513,0.007293017392516484,0.1572727089726288,0.006229824394291799
old_default,20,4.0,5,0.0015027067089441516,0.00030853187613727175,0.07466842844881906,0.005278487924572598,0.18142194532982445,0.005930229435791418,0.1597429731152763,0.013166514737152064
old_default,20,4.0,8,0.0014463306730199195,0.00014884891560776933,0.06454684101856928,0.0004719587725286786,0.1576025710454248,0.007880310188957074,0.14592371308271893,0.0019848548090867064
robust_tuned,10,0.25,1,0.00012622691383075532,3.225537268968841e-05,0.013569555486126025,0.00019852336259701294,0.020074682088630825,0.0010040169757384683,0.024217634647477573,0.002858195291515053
robust_tuned,10,0.25,2,0.0001711668168099009,5.372442257491371e-05,0.011183727712838855,0.0007359574281327562,0.01671449942873531,0.0008876429199644147,0.01603014689091609,0.0012891595978129571
robust_tuned,10,0.25,3,0.00015241532976029612,1.915261304897829e-05,0.008942750357963165,0.0001477532095908071,0.014701769555477,0.0006506368996932983,0.015913759452291912,0.0011964274139954747
robust_tuned,10,0.25,5,0.0001227171408506087,2.586079273912405e-05,0.00649541141898274,0.0004350195131869391,0.011062895803430938,0.0007901230143897702,0.01212731223115681,0.0010383085495810208
robust_tuned,10,0.25,8,9.618290100522362e-05,1.6021815861357027e-05,0.004667561111171726,0.00026432920765156277,0.007609001683194865,0.0008085290815653283,0.008210378418129178,0.0005941693879493762
