n_train_trajectories,best_config_name,n_clusters,omega,E200_mean,E200_std,E100_mean,E50_mean
1,robust_tuned,10,0.25,0.024217634647477573,0.002858195291515053,0.020074682088630825,0.013569555486126025
2,robust_tuned,10,0.25,0.01603014689091609,0.0012891595978129571,0.01671449942873531,0.011183727712838855
3,robust_tuned,10,0.25,0.015913759452291912,0.0011964274139954747,0.014701769555477,0.008942750357963165
5,robust_tuned,10,0.25,0.01212731223115681,0.0010383085495810208,0.011062895803430938,0.00649541141898274
8,robust_tuned,10,0.25,0.008210378418129178,0.0005941693879493762,0.007609001683194865,0.004667561111171726
